X,Y,OBJECTID,PaccNumber,custCOMPANY_NAME,custDBA,pvNUMBER,custID,pvYEAR,pvEFFDATE,pvEXPIRE,contCREATED,contCALCDATE,contPOSTDATE,paccCOMPANY,addrNUMBER_MAIL,addrSTREET1_MAIL,addrSTREET2_MAIL,addrCITY_MAIL,stABBR_MAIL,addrZIP_MAIL,Full_Address,addrNUMBER_PHYSICAL,addrSTREET1_PHYSICAL,addrSTREET2_PHYSICAL,addrZIP_PHYSICAL,scID,scCODE,scNAME,pvscDESC,nbiCODE,pvrtCODE,pvrtDESC,CITY,addrCITY_PHYSICAL,stABBR_PHYSICAL,Id,postYear,GlobalID,created_user,created_date,last_edited_user,last_edited_date
523296.58896558,673171.815142155,1,9351819-BUS,ACCESS NEW TECHNOLOGY SOLUTIONS,ACCESS NEW TECHNOLOGY  SOLUTIONS,202100008367,28464,2021,2021/01/01,2021/12/31,2021/02/25,2021/01/31,2021/01/31,ACCESS NEW TECHNOLOGY SOLUTIONS,3110,KNIGHTSBRIDGE CURV,,MONTGOMERY,AL,361111206,3110 KNIGHTSBRIDGE CURV,3110,KNIGHTSBRIDGE CURV,,361111206,675,541600,CONSULTANT,CONSULTANT,,,Renew,YES,MONTGOMERY,AL,7,2021,{88F1CD02-8D76-4C72-AE54-01F081BC04A2},,,,
533706.706268661,664603.245337069,2,9356537-BUS,ACCESSORIES BY CHAISE,ACCESSORIES BY CHAISE,202200007076,8108,2021,2021/01/01,2021/12/31,2022/02/16,2022/01/27,2022/01/27,ACCESSORIES BY CHAISE,5708,VILLAS LN,APT A,MONTGOMERY,AL,36116,5708 VILLAS LN,5708,VILLAS LN,APT A,36116,787,0,,BUSINESS TO BE CONDUCTED IN A,,,Renew,YES,MONTGOMERY,AL,8,2022,{95EF32D7-CE74-4F4E-8F79-0EAE99BF57FB},,,,
533706.706268661,664603.245337069,3,9356537-BUS,ACCESSORIES BY CHAISE,ACCESSORIES BY CHAISE,202200007077,8108,2022,2022/01/01,2022/12/31,2022/02/16,2022/02/09,2022/02/09,ACCESSORIES BY CHAISE,5708,VILLAS LN,APT A,MONTGOMERY,AL,36116,5708 VILLAS LN,5708,VILLAS LN,APT A,36116,787,0,,BUSINESS TO BE CONDUCTED IN A,,,Renew,YES,MONTGOMERY,AL,8,2022,{46E94CF2-ADD4-496B-9158-EF08F8FE52A8},,,,
,,4,9341289-BUS,ACCLAIM INDUSTRIES,ACCLAIM INDUSTRIES,202100007791,10395,2021,2021/01/01,2021/12/31,2021/02/23,2021/02/02,2021/02/25,ACCLAIM INDUSTRIES,600,SOUTH COURT ST,,MONTGOMERY,AL,36104,600 COURST ST SOUTH,600,COURST ST SOUTH,,36104,559,339999,MISCELLANEOUS MANUFACTURINGSPECIALTY MANUFACTURING NOT DEFINED IN SEPARATE CATEGORIES,MISCELLANEOUS MANUFACTURINGURETHANE AND FOAM,,,Renew,YES,MONTGOMERY,AL,,2021,{DD9F780C-B95A-4E2B-BAA6-28E4728B3063},,,,
,,5,9355146-BUS,ACCO BRANDS USA LLC,ACCO BRANDS USA LLC,202300009754,3755,2023,2023/01/01,2023/12/31,2023/02/23,2023/02/03,2023/02/23,ACCO BRANDS USA LLC,,PO BOX 80600,,INDIANAPOLIS,IN,46280,4 CORPORATE DR,4,CORPORATE DR,,600478924,607,453998,ALL OTHER MISCELLANEOUS RETAILERS,ALL OTHER MISCELLANEOUS RETAILERS,,,Renew,NO,LAKE ZURICH,IL,,2023,{71E7B668-9EB7-4702-9550-69BE58136AFE},,,,
529112.96808083,668024.797549069,6,9367338-BUS,ACCURATE BUILDING SERVICES,ACCURATE BUILDING SERVICES,202100009012,19704,2021,2021/01/01,2021/12/31,2021/02/28,2021/02/25,2021/02/25,ACCURATE BUILDING SERVICES,3509,FALCON RIDGE CT,,MONTGOMERY,AL,36111,3509 FALCON RIDGE CT,3509,FALCON RIDGE CT,,36111,541,238990,CONTRACTORSALL OTHERS,CONTRACTORSALL OTHERS,,,Renew,YES,MONTGOMERY,AL,5,2021,{2BC99714-64EF-4EED-A79B-7185C517ADA5},,,,
,,7,044020-BUS,ACE CONSTRUCTION INC,ACE CONSTRUCTION INC,202300015123,47315,2023,2023/01/01,2023/12/31,2023/10/05,2023/10/01,2023/10/10,ACE CONSTRUCTION INC,7806,VAUGHN RD PMB 1136,,MONTGOMERY,AL,361161333,7806 VAUGHN RD PMB 1136,7806,VAUGHN RD PMB 1136,,361161333,787,0,,"CONSTRUCTION JOBS UNDER $10,000",,,New,YES,MONTGOMERY,AL,,2023,{354DB184-B898-4CB9-92B4-F6C25287A405},,,,
,,8,1730086-BUS,ACE ELECTRIC,ACE ELECTRIC,202200003963,26590,2022,2022/01/01,2022/12/31,2022/02/01,2022/02/02,2022/02/04,ACE ELECTRIC,,P O BOX 241322,,MONTGOMERY,AL,36124,244 MENDEL PKWY W,244,MENDEL PKWY W,,361175405,787,0,,ME# 03851 / 31559 BILLY R JORDAN,,,Renew,YES,MONTGOMERY,AL,,2022,{A7947D64-11B8-40E5-8B80-FB324AF314F3},,,,
,,9,1730086-BUS,ACE ELECTRIC,ACE ELECTRIC,202200003963,26590,2022,2022/01/01,2022/12/31,2022/02/01,2022/02/02,2022/02/04,ACE ELECTRIC,,P O BOX 241322,,MONTGOMERY,AL,36124,244 MENDEL PKWY W,244,MENDEL PKWY W,,361175405,538,238310,CONTRACTORSSPECIALTY TRADEELECTRICAL CONTRACTORS,CONTRACTOR - ELEC,,,Renew,YES,MONTGOMERY,AL,,2022,{3870E5A3-4F6A-43AC-AA80-E4675AC24B52},,,,
,,10,1730086-BUS,ACE ELECTRIC,ACE ELECTRIC,202300008443,26590,2023,2023/01/01,2023/12/31,2023/02/17,2023/01/31,2023/02/28,ACE ELECTRIC,,P O BOX 241322,,MONTGOMERY,AL,36124,244 MENDEL PKWY W,244,MENDEL PKWY W,,361175405,787,0,,ME# 03851 / 42324 BILLY R JORDAN EXP DATE 06/30/2023,,,Renew,YES,MONTGOMERY,AL,,2023,{BFC0BDD5-F600-41FB-BDB9-54E17F2A811A},,,,
