OBJECTID_1,OBJECTID,CALC_ACRE,TAX_MAP,PARCEL_NUM,OWNER1_1,OWNER1_2,MAIL_ST_NU,MAIL_ST_NA,MAIL_EXTRA,MAIL_CITY,MAIL_ST,ZIP_5,ZIP_4,CARE_OF,PROP_ADDRE,STREET_NUM,STREET_NAM,DEED_BOOK_,DEED_PAGE_,DEED_DATE_,NBHD,ZONING,APPRAISED_,Use_,Dev_Area,Maint_By,Maint_Phas,Map_Class,LASTUPDATE,LASTEDITOR,NOTES,DEVEL_AREA,LOCATION,MAP_INDEX,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
20418,10932.0,8.57378837,09 01 11 4 000 002.000,0901114000002000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,HWY 80, ,HWY 80,1559,424,797558400000,THE ORCHARDS,O-2,250000.0,USE,,VACANT LOT CREW,0, ,,,DONATED FOR PARK; USACE REQUIRES WETLAND,,Pond/woods NE of Alsbury Pl in Towne Lake,M-7-J,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,373474.22128470225,3344.3752316204686
20419,16722.0,10.30923126,09 04 19 2 000 003.000,0904192000003000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,STONEWOOD DR, ,STONEWOOD DR,775,840,507859200000,BELL HILLS,R-75-s,150000.0,USE,,PARKS & REC,0, ,,,WOODMERE PARK,,,M-7-M,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,449070.1136951966,4666.238332329287
20420,2511.0,0.07234275,04 08 33 3 000 004.000,0408333000004000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,FEDERAL DR, ,FEDERAL DR, , ,,BONNIE CREST,B-2,1500.0,USE,,MAINTENANCE,0, ,,,,,,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,3151.250254981675,252.18720400283388
20421,49.0,67.69771438,03 07 35 0 000 001.001,0307350000001001,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,HWY 143, ,HWY 143,766,98,504144000000,CLISBY PARK,M-3,130000.0,USE,,LANDFILL,0, ,,,LANDFILL,,,M-2-Z,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,2948912.438546751,7779.281581395177
20422,13656.0,3.43895497,09 03 06 2 007 009.000,0903062007009000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,5816 HYDE PARK DR,5816,HYDE PARK DR,1620,313,818985600000,MONTGOMERY EAST,R-65-s,18800.0,USE,,PARKS & REC,0, ,,,HYDE PARK,,,M-7-A,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,149800.87867565898,1575.9293604148793
20423,4536.0,0.06646231,04 09 32 1 001 021.001,0409321001021001,CITY OF MONTGOMERY, , , , ,MONTGOMERY,AL,36104,0000, ,FAIRGROUND RD, ,FAIRGROUND RD,593,163,409190400000,CHISHOLM,INST,2200.0,USE,,PARKS & REC,0, ,,,CHISHOLM COMMUNITY CENTER,,,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,2895.0983875017128,279.5073395922401
20424,409.0,21.45674445,04 04 20 3 001 002.000,0404203001002000,CITY OF MONTGOMERY, , , , ,MONTGOMERY,AL,00000,0000, ,FARO DR, ,FARO DR,663,616,451699200000,COOSADA FERRY ROAD,AGR-1,313400.0,USE,,PARKS & REC,0, ,,,SHERIDAN HEIGHTS COMMUNITY CENTER / DRAINAGE DITCH,,,"M-2-U, M-2-V",ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,934655.7883109273,5581.260887091389
20425,4771.0,0.34998813,04 09 32 1 012 008.000,0409321012008000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,HAROLD ST, ,HAROLD ST,517,3,345945600000,CHISHOLM,R-65-d,5000.0,USE,,MAINTENANCE,0, ,,,ALDOT ENVIRONMENTAL COVENANT/ STORM DRAINAGE,,"N side, across from 1732-1748 & 3471 Broadview St",M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,15245.482752030797,795.3633397095244
20426,4551.0,0.02128866,04 09 32 1 002 014.001,0409321002014001,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,MONTCLAIR DR, ,MONTCLAIR DR, , ,,CHISHOLM,R-65-d,1000.0,USE,,WATER WORKS,0, ,,,WATER WORKS,,W side of 4000 Keating Dr,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,927.3342215743749,124.50376701972463
20427,5486.0,0.52035761,04 09 32 2 013 014.000,0409322013014000,CITY OF MONTGOMERY, ,103,N PERRY ST, ,MONTGOMERY,AL,36101,1111, ,2700 LOWER WETUMPK RD,2700,LOWER WETUMPKA RD,263,187,165715200000,CHISHOLM,B-2,36800.0,USE,,FIRE,0, ,,,FIRE STATION 8,,,M-2-BB,ISAAC.MURRAY,1740684970000,CHRIS.WILLIAMS,1765403155000,22666.777346302544,608.7245390990706
