OBJECTID,OBJECTID_1,FACILITYID,Type,FULLADDR,OPERDAYS,OPERHOURS,PARKAREA,PARKURL,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,SOFTBALL,BASKETBALL,TENNIS,SKATEBOARD,INFORMATION,PETS,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,ORIG_FID,X,Y
1,1,Alabama State Capitol,Museum,"Montgomery, AL 36104, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.3224638,32.3989318
2,2,AlabamaMosaic,Museum,"624 Washington Ave, Montgomery, AL 36104, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.300518,32.3757537
3,3,Armory Learning Arts Center,Recreation,1018 MADISON AVE,Mon-Fri,8:00AM-5:00PM,2.24812956,http://www.funinmontgomery.com/parks-items/Armory,70,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,1,-86.29440802,32.37944736
5,5,AUM/Ron Nunn Complex,Sports Field,250 BROWN SPRINGS RD,Sun-Sat,Daylight,27.77297621,http://www.funinmontgomery.com/parks-items/aum-ron-nunn-montgomery-east,300,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,5,2,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,shutcheson,2017/11/03 16:26:27+00,ABOWEN,2021/12/02 16:39:56+00,84,-86.1832935,32.37479859
12,12,Chisholm Community Center,Community Center,329 E VANDIVER BLVD,Sun-Sat,Daylight,28.20692249,http://www.funinmontgomery.com/parks-items/Chisholm,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,6,-86.27330726,32.41932342
13,13,Civil Rights Memorial,Museum,"400 Washington Ave, Montgomery, AL 36104, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.303246,32.3761442
18,18,Court Square,Historical Place,1 DEXTER AVE,Sun-Sat,Daylight,0.79432368,http://www.funinmontgomery.com/parks-items/court-square,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,10,-86.30911598,32.37712843
19,19,Cramton Bowl ,Sports Field,1022 MADISON AVE,Mon-Fri,8:00AM-5:00PM,16.07607995,http://www.funinmontgomery.com/parks-items/cramton-bowl,0,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2013/08/29 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,11,-86.29362581,32.37892183
20,20,Crump Senior Center,Community Center,1751 CONG W L DICKINSON DR,Mon-Fri,8:00AM-5:00PM,1.84549616,http://www.funinmontgomery.com/parks-items/crump-senior-center,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 15:03:17+00,ABOWEN,2021/12/02 16:39:56+00,82,-86.26384116,32.40732897
25,25,Dexter Parsonage Museum,Museum,"309 S Jackson St, Montgomery, AL 36104, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.2960648,32.3730404
