X,Y,OffenceNum,CaseDate,CaseType,CaseStatus,LienStatus,ParcelNo,CouncilDistrict,City,STATE,Zip,ComplaintRem,OBJECTID,ParcelNo_X,ParcelNo_Y,Address1,Year,Month,GlobalID,created_user,created_date,last_edited_user,last_edited_date
505932.015427087,671822.866396509,C00127179,2021/10/27,NUISANCE,DEBUG_TEST,Lien Filed,11 06 24 3 015 032.000,DISTRICT 4,,AL,,,1,3.25888889,11.10666667,,2021,10,{972D2E4C-47DF-417A-918E-98DB05A64BFD},,,HNAM,2025/08/06 13:55:53+00
536187.363380838,671209.182912596,C00128799,2022/01/25,NUISANCE,CLOSED,NA,10 07 25 2 001 003.000,DISTRICT 5,,AL,,"ALL BEHIND THESE ADDRESS 2729,2741,2759,2769 ALL NEEDS TO BE CLEANED UP AND KELP CLEAN.",2,2.0175,10.12361111,,2022,1,{A4934B77-2B8E-447F-9B69-95007881DF8E},,,HNAM,2025/03/19 20:12:07+00
507135.202981338,677266.52611284,C00129508,2022/02/24,DEMOLITION,CLOSED,NA,11 06 13 4 014 022.000,DISTRICT 7,,AL,,,3,4.23944444,11.10361111,,2022,2,{9E3EF800-00F1-4F9B-88BC-1E456D0DFDA7},,,HNAM,2025/03/19 20:12:07+00
508792.013644088,673687.791800506,C00130353,2022/03/22,NUISANCE,CLOSED,NA,11 06 24 4 001 006.000,DISTRICT 4,,AL,,,4,4.01833333,11.10666667,,2022,3,{B68721EA-FE1F-4BC7-8EB3-0504A7BF6BCE},,,HNAM,2025/03/19 20:12:07+00
508793.397171505,673612.800480679,C00130354,2022/03/22,NUISANCE,CLOSED,NA,11 06 24 4 001 007.000,DISTRICT 4,,AL,,,5,4.01861111,11.10666667,,2022,3,{9490693B-FF07-4424-9A89-7C4E29578674},,,HNAM,2025/03/19 20:12:07+00
508793.397171505,673612.800480679,C00130356,2022/03/22,NUISANCE,CLOSED,NA,11 06 24 4 001 007.000,DISTRICT 4,,AL,,,6,4.01861111,11.10666667,,2022,3,{EDC3A3DF-314A-46AC-AAAC-FDE87AC6FA8B},,,HNAM,2025/03/19 20:12:07+00
508792.013644088,673687.791800506,C00130902,2022/04/01,NUISANCE,CLOSED,Lien Released,11 06 24 4 001 006.000,DISTRICT 4,,AL,,,7,4.01833333,11.10666667,,2022,4,{F035E5A6-88F8-417D-B40E-DF07512E0E8D},,,HNAM,2025/03/19 20:12:07+00
518029.909866419,688040.138751924,C00131244,2022/04/08,NUISANCE,CLOSED,NA,10 03 05 4 013 020.000,DISTRICT 3,,AL,,,8,4.22222222,10.05138889,,2022,4,{315B91C0-7C14-4C98-8804-354AC76A5950},,,HNAM,2025/03/19 20:12:07+00
518029.909866419,688040.138751924,C00115825,2021/04/07,NUISANCE,CLOSED,NA,10 03 05 4 013 020.000,DISTRICT 3,,AL,,,9,4.22222222,10.05138889,,2021,4,{FC45C14D-0BC0-4925-BE17-71D76521E9A2},,,HNAM,2025/03/19 20:12:07+00
505932.015427087,671822.866396509,C00116638,2021/04/16,NUISANCE,OPEN,Lien Filed,11 06 24 3 015 032.000,DISTRICT 4,,AL,,,10,3.25888889,11.10666667,,2021,4,{0D10D5B4-ECA0-426D-AE89-29C40A445BF6},,,HNAM,2025/03/19 20:12:07+00
503458.261188254,681344.159033678,C00118991,2021/05/21,NUISANCE,CLOSED,NA,11 06 14 1 005 002.001,DISTRICT 4,,AL,,,11,1.08388917,11.10388889,,2021,5,{69BFC106-4A11-4C30-9CAE-886E9DD1A4FC},,,HNAM,2025/03/19 20:12:07+00
