X,Y,OBJECTID,Name,ADDRESS,Table_Name
-9607474.72086532,3812303.65109916,1,Juliette Hampton Morgan Memorial Library,245 High St,Library
-9595227.99262632,3808509.08722478,2,E.L. Lowder Regional Library,2590 Bell Rd,Library
-9611114.53824092,3808970.16000356,3,Rufus A. Lewis Regional Library,3095 Mobile Hwy,Library
-9602312.25611869,3815941.62685693,4,Coliseum Boulevard Branch Library,840 Coliseum Blvd,Library
-9601157.7363459,3806560.69468215,5,Governors Square Branch Library,2885-B East South Blvd,Library
-9608778.23531991,3810551.63242063,6,Rosa L. Parks Avenue Branch Library,1276 Rosa L Parks Av,Library
-9594306.48930073,3804350.45481203,7,Hampstead Branch Library,5251 Hampstead High St,Library
-9606252.31569461,3813269.26756389,8,Armory Learning Arts Center,1018 MADISON AVE,Community Center
-9608042.32075573,3808651.62017306,9,Bellingrath Community Center,70 W EDGEMONT AVE,Community Center
-9597996.99344285,3805554.37613726,10,Brewbaker Community Center,4450 BREWBAKER DR,Community Center
-9603700.21779724,3813718.15666566,11,Capitol Heights Community CC,206 FEDERAL DR,Community Center
-9604015.52780425,3818660.19670074,12,Chisholm Community Center,545 VANDIVER BLVD,Community Center
-9606582.27209035,3808161.29041123,13,Therapeutic Recreation Center,604 AUGUSTA AVE,Community Center
-9608465.58388486,3811088.77196937,14,E.D. Nixon Community Center,1010 GOODE ST,Community Center
-9600784.24600426,3813407.46113191,15,Goodwyn Community Center,205 PERRY HILL RD,Community Center
-9613053.60320552,3809121.61163063,16,Hayneville Rd Community Center,3315 HAYNEVILLE RD,Community Center
-9604587.74338606,3815859.92669322,17,Highland Gardens CC,2805 WILLENA AVE,Community Center
-9605892.75878278,3813093.80107161,18,Houston Hill Community Center,207 NORTH HALL ST,Community Center
-9617109.40338843,3814871.53015781,19,Hunter Station Community Center,20 MELTON ST,Community Center
-9604423.06059284,3814684.1809152,20,King Hill Community Center,814 EAST CLAIRMONT,Community Center
-9598488.83837402,3802068.6752418,21,Wille Cook Community Center,6050 WOODLEY CIR,Community Center
-9610426.70976181,3810633.03538604,22,McIntyre Community Center,1240 HUGH ST,Community Center
-9598319.09875365,3803782.24221205,23,Regency Park Community Center,5995 CHRISTY LN,Community Center
-9606366.82154456,3815461.01769749,24,Newtown Community Center,1765 NORTH DECATUR ST,Community Center
-9614949.09925883,3810566.88307102,25,Old Selma Road Community Center,3200 OLD SELMA RD,Community Center
-9605273.0799621,3820594.03650569,26,Sheridan Heights CC,3501 FARO LN,Community Center
-9605596.45147718,3811759.59109324,27,Oak Park (Offices and Park),1010 FOREST AVE,Community Center
-9609453.18946495,3811419.65461619,28,Loveless Community Center,911 W JEFF DAVIS AVE,Community Center
-9606401.72089262,3808064.8017223,29,Floyd Community Center,3450 LEBRON RD,Community Center
-9602817.57260711,3816937.16011519,30,Crump Senior Center,1751 CONGR W L DICKINSON DR,Community Center
