X,Y,OBJECTID,FacilityName,LicenseeName,Director,Phone,Address,City,ZipCode,Day_Hours,Day_Ages,Day_Capacity,Night_Hours,Night_Ages,Night_Capacity,Status,License_Ex,Consultant,ContactPerson,Notes,LastUpdate,LastEditor,created_user,created_date,last_edited_user,last_edited_date
-9604512.75182405,3806872.23356258,1,7 HEAVEN LLC,,DANA BULLOCK,(334)538-4748,2109 MONA LISA DRIVE,MONTGOMERY,36111,06:30 AM - 05:00 PM,6 WKS Through 5 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9611148.17077194,3808449.83806875,2,AGAPE CHILD DEVELOPMENT CENTER,,ERMA FRANKLIN,(334)593-0502,2640 WESTGATE STREET,MONTGOMERY,36108,06:30 AM - 05:30 PM,6 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9596261.41563997,3807952.84232171,3,ALDERSGATE WEEKDAY CHILDREN'S MINISTRIES,,ELLEN BRUCH,(334)277-0880,6610 VAUGHN ROAD,MONTGOMERY,36116,07:00 AM - 05:30 PM,6 WKS Through 18 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9597780.59227259,3814376.60918205,4,ALABAMA CHRISTIAN ACADEMY,,GREG GLENN,(334)277-1985,4700 WARES FERRY ROAD,MONTGOMERY,36109,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9604183.68635302,3806099.58373329,5,ALFA CHILD CARE AND DEVELOPMENT CENTER,,KIMBERLY CARTER,(334)281-7439,2120 E SO BLVD,MONTGOMERY,36116,06:45 AM - 05:30 PM,6 WKS Through 6 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9596551.5162426,3810704.08907108,6,ALL ABOARD ACADEMY-CHILDCARE,,TYESHA MOORE,(334)239-8014,5833 CARMICHAEL RD,MONTGOMERY,36117,06:00 AM - 06:00 PM,6 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9611219.97041146,3802611.87593881,7,ALICE M GLOVER,,ALICE GLOVER,(334)281-2754,5616 E SHADES VALLEY DR,MONTGOMERY,36108,06:00 AM - 07:00 PM,0 WKS Through 10 YRS,,07:00 PM - 12:00 AM,0 WKS Through 10 YRS,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9602054.59040422,3811640.85849815,8,ALL ABOUT KIDZ LEARNING & DEV. CENTER,,TOMEKA KNIGHT,(334)676-3100,3305 HARRISON ROAD,MONTGOMERY,36109,06:00 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9602028.8750438,3811510.64768295,9,ALL ABOUT KIDZ TOO,,SADE LEWIS,(334)676-3100,3364 HARRISON ROAD,MONTGOMERY,36109,06:00 AM - 06:00 PM,3 YRS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9606052.52131649,3804836.43927756,10,ALL KID CHILDCARE SERVICES,,PATRICIA CARTER,(334)384-3414,1733 CORAL LN,MONTGOMERY,36116,07:00 AM - 05:30 PM,12 MOS Through 15 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9598445.50673637,3805765.37723492,11,AREATHA'S LOVE AND CARE,,AREATHA WILLIAMS,(334)538-4777,3659 CARRIAGE OAKS DRIVE,MONTGOMERY,36116,07:30 AM - 04:00 PM,6 WKS Through 4 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9604288.66596767,3814105.57707925,12,ANITA  THOMAS,,ANITA THOMAS,(334)269-5478,2129 WINDSOR AVE,MONTGOMERY,,06:00 AM - 06:00 PM,4 WKS Through 12 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9605482.45331138,3812057.7371052,13,BEE SMART TUTORIAL & CDC,,PATRICIA DEAN,(334)356-9201,1625 LAKE STREET,MONTGOMERY,36106,06:00 AM - 07:00 PM,6 WKS Through 13 YRS,,07:00 PM - 12:00 AM,6 WKS Through 13 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9605726.90813599,3812183.47969695,14,BETHANY CHILD DEVELOPMENT CENTER,,FENYSA HAYES,(334)265-5521,714 CEDAR STREET,MONTGOMERY,36106,06:30 AM - 06:00 PM,6 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9590858.63715242,3807019.39389968,15,AVALON MONTESSORI SCHOOL,,SONIA CHAUDHURI,(334)725-6797,395 RAY THORINGTON RD,MONTGOMERY,36117,07:00 AM - 05:30 PM,6 WKS Through 6 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9605636.91700834,3806330.31225188,16,AMAZING KIDS ACADEMY,,DINAH ROBINSON-ALLEN,(334)356-7121,1125 E S BLVD,MONTGOMERY,36116,05:00 AM - 07:00 PM,6 WKS Through 13 YRS,,07:00 PM - 12:00 AM,6 WKS Through 13 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9600561.46504365,3808614.01498867,17,BEYOND PLAY LEARNING ACADEMY,,YOLANDA GREEN,(334)239-8331,3873 LLYDE LANE,MONTGOMERY,36106,07:00 AM - 05:30 PM,2 WKS Through 5 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9596774.1559561,3815175.37180317,18,BIBLE BABIES LEARNING ACADEMY,,COURTNEY HARKLESS,(334)272-6731,444 TWAIN CURVE,MONTGOMERY,36117,05:30 AM - 06:00 PM,6 WKS Through 13 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9595274.23788169,3807579.06003769,19,BELL ROAD PRESCHOOL,,HEIDI CAWTHORNE,(334)356-1789,3241 BELL ROAD,MONTGOMERY,36116,06:45 AM - 06:00 PM,4 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9596467.02673726,3812996.85566667,20,BIBLE BABIES LEARNING ACADEMY SITE II,,COURTNEY HARKLESS,(334)649-1722,209 GUNN ROAD,MONTGOMERY,36117,05:30 AM - 07:00 PM,3 YRS Through 13 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9600835.64747541,3814655.0288172,21,BLAKELYN'S DAYCARE,,LYNNE MOODY,(334)220-3331,435 DALRAIDA ROAD,MONTGOMERY,36109,07:30 AM - 05:30 PM,3 WKS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9608711.60979736,3806634.57088509,22,BETHLEHEM TEMPLE EDUCATIONAL DEV. CTR.,,JULIET CRAWFORD,(334)288-8366,4214 ROSA L. PARKS AVENUE,MONTGOMERY,36105,05:30 AM - 05:30 PM,6 WKS Through 14 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9596375.40868024,3810754.4321582,23,BIBLE BABIES LEARNING ACADEMY SITE 3,,COURTNEY HARKLESS,(334)356-4374,5783 CARMICHAEL PARKWAY,MONTGOMERY,36117,06:30 AM - 05:30 PM,6 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9599673.79895805,3810111.99007337,24,BRIDGET'S CHRISTIAN CHILDCARE & LRN. CTR,,BRIDGET TUCK,(334)492-0364,4112 TANDY DRIVE,MONTGOMERY,36106,07:00 AM - 05:30 PM,6 WKS Through 5 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9606647.52085313,3808234.67348538,25,BRIGHT PATHS ACADEMY LLC,,VICKIE MOORE,(334)593-3772,524 AUGUSTA AVENUE,MONTGOMERY,36111,06:00 AM - 06:00 PM,6 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9603083.52312461,3807657.98096003,26,BRENDA'S DEV AND LEARNING HOME DAYCARE,,TANGERLERIA RONEY,(334)616-5783,2828 GREENBRIAR RD,MONTGOMERY,36111,07:00 AM - 05:30 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9602687.78044268,3804261.4897173,27,BROWN'S HOME DAY CARE,,BARBARA BROWN,(334)281-4084,261 SMALLBROOK DR,MONTGOMERY,,06:30 AM - 05:30 PM,6 WKS Through 5 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9592993.18214329,3813701.41024785,28,BY HIS GRACE D/C & LEARNING CENTER,,LATRICE RUSH,(334)676-2167,6933 ATLANTA HWY,MONTGOMERY,36117,05:00 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9598795.37963608,3807392.36916039,29,BY HIS GRACE D/C & LEARNING CENTER II,,ALEXIS MCCALL,(334)593-9180,3025 BUCKBOARD RD,MONTGOMERY,36116,05:00 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9592506.9412189,3809580.53039131,30,BY HIS GRACE DAYCARE & LEARNING CENTER V,,LAMARLA BUCHANAN,(334)593-9439,1767 HALCYON BOULEVARD,MONTGOMERY,36117,05:00 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9604157.42052663,3806720.5970388,31,CAROLYN WHITE,,CAROLYN WHITE,(334)593-9848,2175 BEVERLY DRIVE,MONTGOMERY,36111,05:00 AM - 05:30 PM,0 WKS Through 12 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9601129.8628241,3808187.63771306,32,CASA ALEGRIA,,JAQUELINE TORRES,(562)209-5184,2513 CAPSTONE DRIVE,MONTGOMERY,36106,07:00 AM - 07:00 PM,1 YRS Through 15 YRS,,07:00 PM - 12:00 AM,18 MOS Through 15 YRS,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9610704.89759607,3809154.64852284,33,CARVER ELEMENTARY PRE-K,,ASHLEY WILLIAMS,(334)415-3843,3100 MOBILE DRIVE,MONTGOMERY,36108,07:30 AM - 03:30 PM,3 YRS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
