X,Y,OBJECTID_1,OBJECTID,NAME,FIPS,ENRLMT,SCH_ENRL,enr,Address,City,TELEPHONE,ZIP,TAZ_2035LR,TAZ_2030LR,EMPLOY,Enroll,Level_,BUFF_DIST,LASTUPDATE,created_user,created_date,last_edited_user,last_edited_date,SchoolType,New
437716.634141579,717981.754065409,1,9437200,Autauga Academy,01001,214,0,212,497 Golson Rd,Prattville,(334) 365-4343,36067,357,357,25,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
520870.130891997,668463.561107241,2,9437210,Bear Exploration Center School,01101,561,0,561,2525 Churchill Drive,Montgomery,(334) 284-8014,36111,121,121,43,520,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
508952.183271244,672310.819488823,3,9437213,Bellingrath Middle School,01101,636,0,636,3350 S. Court St,Montgomery,(334) 269-3618,36105,37,37,62,470,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
536705.434523162,662302.292917989,4,9437230,Brewbaker Intermediate School,01101,635,0,635,4455 Brewbaker Drive,Montgomery,(334) 284-8006,36116,197,197,55,682,Elementary 3rd-5th Grade,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
536961.062292747,662710.894462988,5,9437231,Brewbaker Middle School,01101,857,0,857,4425 Brewbaker Drive,Montgomery,(334) 284-8008,36116,197,197,79,752,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
520904.449720997,685073.280184321,6,9437238,Capitol Heights Middle School,01101,605,0,605,116 Federal Drive,Montgomery,(334) 260-1000,36107,67,67,77,587,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
467252.849675328,659997.611175656,7,9437245,Catoma Elementary School,01101,307,0,307,1760 Mitchell Young Rd,Montgomery,(334) 288-5799,36108,223,223,30,326,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
540887.91992458,669630.350440323,8,9437249,Saint James School,01101,696,0,1150,6010 Vaughn Road,Montgomery,(334) 277-8033,36116,197,197,20,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
518544.845516328,698165.903277241,9,9437259,Chisholm Elementary School,01101,614,0,614,307 E. Vandiver Blvd,Montgomery,(334) 269-3643,36110,151,151,56,544,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
497480.920780744,730256.746247657,10,9437267,Coosada Elementary School,01051,624,0,609,5260 Airport Road,Millbrook,(334) 285-0273,36054,314,314,67,609,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
