X,Y,OBJECTID,Join_Count,TARGET_FID,Offense_No,Item_No,Type,Address,Parcel_No,Remarks,Source_Date,Id
516806.291578136,676588.308310218,1,1,1,C00172683,,NUISANCE,1621 CARTER HILL RD,10 04 20 2 003 001.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* THERE IS LITTER JUNK AND TRASH AND OVERGROWN GRASS.ALL OVER THIS PROPERTY..",2025/01/07 00:00:00+00,7
517852.599852975,664391.899304152,2,1,2,C00172632,,NUISANCE,2020 EAST SOUTH BLVD,10 09 32 1 006 004.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/07 00:00:00+00,5
493371.139629632,678035.260140739,3,1,3,C00172642,,NUISANCE,105 LONGVIEW CT,11 05 16 4 003 012.000,"* DEBRIS, LITTER, JUNK, TRASH, WEEDS* ENTIRE PARCEL MUST BE CLEANED AND RID OF ALL JUNK IN YARD",2025/01/07 00:00:00+00,4
493581.846229218,677755.540883899,4,1,4,C00172644,,NUISANCE,119 LONGVIEW CT,11 05 16 4 003 018.001,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* 1 BLUE SUV",2025/01/07 00:00:00+00,4
493641.944862302,677675.553182982,5,1,5,C00172646,,NUISANCE,123 LONGVIEW CT,11 05 16 4 003 020.000,"* AUTO PARTS, BLDG. MATERIAL, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* 1 FORD TRUCK1 BLUE VAN ENTIRE PARCEL MUST BE RID OF ALL BUILDING MATERIAL AND RID OF JUNK IN YARD",2025/01/07 00:00:00+00,4
492741.900730629,678548.854914054,6,1,6,C00172636,,NUISANCE,2703 OLD SELMA RD,11 05 16 4 009 001.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* 1 PURPLE CAR1 BLACK CAR",2025/01/07 00:00:00+00,4
493601.861609135,677345.300234556,7,1,7,C00172635,,NUISANCE,132 LONGVIEW CT,11 05 16 4 009 019.000,"* APPLIANCES, AUTO PARTS, BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, WEEDS, WOOD* ENTIRE PARCEL MUST BE CLEANED AND CLEARED OF JUNK",2025/01/07 00:00:00+00,4
493194.970034469,677870.13448672,8,1,8,C00172641,,NUISANCE,52 LONGVIEW CT,11 05 16 4 009 032.000,"* DEBRIS, LITTER, JUNK, TRASH, WEEDS* ENTIRE PARCEL MUST BE CLEANED AND RID OF ALL JUNK IN YARD",2025/01/07 00:00:00+00,4
492798.692283716,678391.566186637,9,1,9,C00172637,,NUISANCE,6 LONGVIEW CT,11 05 16 4 009 039.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, WEEDS* ALL JUNK AND DEBRIS BE REMOVED FROM PARCEL PLEASE",2025/01/07 00:00:00+00,4
509270.412949134,667394.979255982,10,1,10,C00172656,,NUISANCE,29 WEST PATTON AVE,11 07 25 4 012 011.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED AUTO PARTS AND DEBRIS AND INOPERABLE VEHICLES ON THE LOT",2025/01/07 00:00:00+00,4
