X,Y,OBJECTID,Address,Facility_Name,category
-9613378.49002364,3804143.64733333,1,2801 Selma Hwy,Station 14,Fire Station
-9609172.54861283,3812393.9856371,2,405 S. Holt St,Station2,Fire Station
-9600388.93419838,3810192.77697168,3,4110 Carmichael Rd,Station3,Fire Station
-9611845.43062584,3809098.40300574,4,1300 Air Base Blvd,Station4,Fire Station
-9598543.13935038,3815889.24996231,5,2710 Lagoon Park Dr,Station5,Fire Station
-9605406.72408258,3811571.59772614,6,1250 Forest Ave,Station6,Fire Station
-9605417.18002689,3809653.94515169,7,1329 E. Fairview Ave,Station7,Fire Station
-9605311.54072232,3817616.68411798,8,2700 Lower Wetumpka Rd,Station8,Fire Station
-9600664.80622899,3806572.08174318,9,3180 E. South Blvd,Station9,Fire Station
-9608677.91384566,3809700.83757921,10,1931 Rosa L. Parks Ave,Station10,Fire Station
-9602143.97911172,3815045.92620434,11,3305 Biltmore Ave,Station11,Fire Station
-9606832.28268877,3806354.0176279,12,3950 Norman Bridge Rd,Station12,Fire Station
-9595171.26649269,3808276.37835539,13,2685 Bell Rd,Station13,Fire Station
-9592470.30260888,3812688.064819,14,441 Taylor Rd,Station15,Fire Station
-9589452.72845056,3805465.78659171,15,820 Ray Thorington Rd,Station16,Fire Station
-9606627.01312875,3813533.80849229,16,320 North Ripley St,Public Affairs Building-Police Headquarters,Police Station
-9609110.0792313,3812336.83754886,17,740 Mildred St,Montgomery Police Academy (Alabama Advanced Criminal Justice Academy),Police Station
-9620112.62491081,3804474.81044888,18,5880 Old Hayneville Rd,Outdoor Range & Training Facility,Police Station
-9608566.08131551,3813228.03036498,19,495 Molton St,River District Office Substation,Police Station
-9607969.49465073,3812923.50807296,20,116 Montgomery St,River District Precinct Substation,Police Station
-9608074.88964515,3813253.90054227,21,130 Commerce St,River District Alley Substation,Police Station
-9606464.66408582,3814705.87107152,22,1428 Communications Pkwy,K-9 Kennel & Training Facility,Police Station
-9605626.78962517,3812220.15289416,23,1514 Highland Av,Property Evidence Supply Storage Facility,Police Station
-9600700.64930015,3806496.94293914,24,3003 E South Blvd,DPS SouthCentral,Police Station
-9606173.4392768,3813227.76661377,25,1022 Madison Av,Indoor Range & Training Facility,Police Station
-9602819.93846713,3816931.74178703,26,1751 Cong W L Dickinson Dr,Criminal Investigation Division & SOD Office,Police Station
-9607750.39377156,3813217.84479097,27,1 Dexter Plaza,Director of Public Safety Office,Police Station
-9606492.70372436,3814287.00196596,28,954 North Ripley,Crime Scene Bureau,Police Station
-9608008.65851354,3809619.77162463,29,60 W Fairview Ave,Special Response Bureau - School Resource Officer,Police Station
-9607937.61937775,3812806.30552273,30,138 Lee St,River District Office,Police Station
-9607794.04225361,3814069.0585849,31,25 E Railroad St,Specialized Property - Evidence and Supply Facility,Police Station
-9603882.2534072,3806255.75400089,32,2190 E South Blvd,Peer Suport Office,Police Station
-9620569.8165868,3803865.22733142,33,5896 Old Hayneville Rd,ALEA Emergency Vehicle Operation Center,Police Station
