Months_in_Incident_Date,Total_Estimated_Property_Value,Total_Estimated_Property_Loss,Total_Estimated_Property_Saved,Estimated_Property_Saved____,Total_Estimated_Content_Value,Total_Estimated_Content_Loss,Total_Estimated_Content_Saved,Estimated_Content_Saved____,ObjectId
1737763200000,6941020,931520,6009500,0.865794941,100976120,100266420,709700,0.007028394,1
1740441600000,15472505,2613505,12859000,0.831087145,866550,646250,220300,0.254226531,2
1742860800000,6445900,2072250,4373650,0.678516576,1026500,810550,215950,0.210375061,3
1745539200000,102845600,101221300,1624300,0.015793578,100360920,100242920,118000,0.001175756,4
1748131200000,4513600,492500,4021100,0.890885324,796800,171200,625600,0.785140562,5
1750809600000,6983900,4502200,2481700,0.355345867,1276400,1143500,132900,0.104120965,6
1753401600000,6013400,1338400,4675000,0.777430405,1933800,986800,947000,0.489709381,7
1756080000000,3673400,880000,2793400,0.760439919,3403700,3210000,193700,0.056908658,8
1758758400000,20654500,781500,19873000,0.962163209,459600,336910,122690,0.266949521,9
1761350400000,203369700,1823350,201546350,0.991034309,1506300,1276650,229650,0.152459669,10
1764028800000,9231500,1034220,8197280,0.887968369,521700,276300,245400,0.470385279,11
1766620800000,536000,171000,365000,0.680970149,97800,32800,65000,0.664621677,12
