OBJECTID,KIOSK_ID,PARKMOBILE_ZONE,BLOCK,SPACES,NOTES,Shape__Length
3,K-03b,36078,200 Blk Tallapoosa St_North side,8,Kiosk located near space 8,126.975880371561
4,K-04a,36081,100 Blk Tallapoosa St_South side,8,Kiosk located near space 6,139.350490368308
5,K-05a,36079,100 Blk Tallapoosa St_North side,9,Kiosk located near space 5,137.972475347726
6,K-06,36080,99 Blk Tallapoosa St_South side,9,Kiosk located near space 5,129.539794326814
7,K-07,36080,99 Blk Tallapoosa St_South side,11,Kiosk located near space 5,142.122508300982
8,K-08,N/A,99 Blk Columbus St_South side,12,Kiosk located near space 6,286.122823702978
9,K-09,N/A,100 Blk Columbus St_South side,10,Kiosk located near space 5,262.342151496226
10,K-10,N/A,200 Blk Columbus St_South side,10,Kiosk located near space 5,263.999559513248
11,K-11,36096,99 Blk W Jefferson St_South side,8,Kiosk located near space 4,126.590559982203
12,K-12,36096,99 Blk W Jefferson St_North side,7,Kiosk located near space 5,154.981360929799
13,K-13,36096,99 Blk W Jefferson St_North side,16,Kiosk located near space 8,201.653484321224
15,K-16,36064,99 Blk Monroe St_North side,4,Kiosk located near space 2,99.9717350325761
16,K-17,36065,100 Blk Monroe St_South side,6,Kiosk located in eastern half of block,242.045404202238
17,K-18,36064,100 Blk Monroe St_North side,8,Kiosk located near space 4,268.065082058348
18,K-19a,36012,500 Blk Monroe St_South side,8,Kiosk located near space 4,91.3476164181616
19,K-19b,36012,500 Blk Monroe St_South side,9,Kiosk located near space 4,116.556435868644
20,K-20,36012,600 Blk Monroe St_South side,9,"Parallel spaces; kiosk located near space 4",193.410931257852
21,K-21,36018,400 Blk Dexter Ave_North side,9,Kiosk located near space 3,118.441330570411
22,K-22a,36017,400 Blk Dexter Ave_south side,10,Kiosk located near space 5,141.905198640227
23,K-22b,36017,400 Blk Dexter Ave_South side,10,Kiosk located near space 5,105.696291133135
24,K-23,36058,300 Blk Dexter Ave_North side,8,Kiosk located near space 4,106.791616151281
25,K-24,36058,300 Blk Dexter Ave_North side,8,Kiosk located near space 4,101.958745831111
26,K-25,36058,200 Blk Dexter Ave_North side,6,Kiosk located near space 3,87.8536162925054
27,K-26,36058,200 Blk Dexter Ave_North side,4,Kiosk located near space 2,53.2138764474457
28,K-27,36059,200 Blk Dexter Ave_South side,12,Kiosk located near space 6,138.728933767074
29,K-28,36059,200 Blk Dexter Ave_South side,12,Kiosk located near space 6,148.742194241413
30,K-29,36060,100 Blk Dexter Ave_North side,13,Kiosk located near space 7,133.461139470697
31,K-30,36060,100 Blk Dexter Ave_North side,13,Kiosk located near space 7,121.047644618968
32,K-31,36061,100 Blk Dexter Ave_South side,12,Kiosk located near space 6,181.41011866073
33,K-32,36063,99 Blk Dexter Ave_North side,9,Kiosk located near space 6,113.258643731969
