OBJECTID,BRANCH_NAME,ADDRESS,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,GlobalID
1,Juliette Hampton Morgan Memorial Library,245 High St,,,,,,,{4A9626AA-B26C-4602-AB9E-361DC00BE5D0}
2,E.L. Lowder Regional Library,2590 Bell Rd,,,,,,,{311F090C-1FC3-437D-842D-35B122A0377B}
3,Rufus A. Lewis Regional Library,3095 Mobile Hwy,,,,,,,{A21EAF69-9369-4866-B0A1-642F86D05C89}
4,Coliseum Boulevard Branch Library,840 Coliseum Blvd,,,,,,,{C9D0610A-2DF4-4A17-9E2A-92711AA2C2E2}
5,Governors Square Branch Library,2885-B East South Blvd,,,,,,,{D8F1C823-390B-463B-AF7F-7A53B77D1587}
6,Bertha Williams Library - Rosa Parks Avenue Branch,1276 Rosa L Parks Av,,,,,HNAM,1740513139000,{D565F761-BEAE-44EC-91EA-7DEDDD635DED}
7,Ramer Branch Library,5444 AL Hwy 94,,,,,,,{B3C81F64-E844-4172-9892-B964118972F1}
8,Pintlala Branch Library,255 Federal Rd,,,,,,,{1E8C0CD3-7E7B-4BB8-B0B6-154812C8541F}
9,Hampstead Branch Library,5251 Hampstead High St,,,,,ISAAC.MURRAY,1743688054000,{6D565899-34F3-4C2E-B982-5135E18144CC}
10,Pike Road Branch library,9585 Vaughn Rd,,,,,,,{C3274549-2D11-4DD5-ACA2-A2E106274C25}
11,Pine Level Branch Library,20 Kohn Dr,,,,,,,{BAF8BA49-6801-42E8-8171-595A94336FA3}
12,Montgomery County Law Library,251 S Lawrence St # 4,,,HNAM,1740513247000,HNAM,1740513274000,{69D86E8A-F467-4491-A738-998DE52B5D18}
