OBJECTID,Id,Type_,Material,Cond_,Chan_Shp,Width_T,Width_B,Slope,MaintDate,Basin,Ditch_Name,Flow_Dir,Empty_To,created_user,created_date,last_editor_user,last_editor_date,last_edited_user,last_edited_date,Supervisor,TYPE,First_Cut,Second_Cut,Third_Cut,Next_Scheduled,FACILITYID,Prev_Year_First_Cut,Prev_Year_Second_Cut,Prev_Year_Third_Cut,Shape__Length
14779,1,0,0,0,0,3.18670568,0.0,0.0,Received Third Cut,AUDUBON DITCH,SUNSHINE DITCH,SOUTH,CATOMA CREEK,NPJACKSON,1740667602000,,,ABENEFIELD,1765312956000,CENTRAL,DITCH,1747267200000,1754438400000,1758067200000,,C01,1709856000000,1713484800000,1719532800000,16825.80601238544
14780,1,0,0,0,0,0.91666968,0.0,0.0,Received Third Cut,CLOVERLAND DITCH,EDGEMONT DR,SOUTH,GENETTA DITCH,NPJACKSON,1740667602000,NPJ,,ABENEFIELD,1765400742000,CENTRAL,DITCH,1748390400000,1752624000000,1756252800000,,C02,1709596800000,1724112000000,1720483200000,4840.015906452649
14781,1,0,0,0,0,0.86755048,0.0,0.0,Received Third Cut,CLOVERLAND DITCH,CLOVERLAND DITCH,SOUTH,GENETTA DITCH,NPJACKSON,1740667602000,,,ABENEFIELD,1756407186000,CENTRAL,DITCH,1748390400000,1752624000000,1756252800000,,C03,1711324800000,1718236800000,1721692800000,4580.66654487571
14782,1,0,0,0,0,1.08605238,0.0,0.0,Received Third Cut,CLOVERLAND DITCH,LOWER CLOVERLAND DITCH,WEST,GENETTA DITCH,NPJACKSON,1740667602000,,,ABENEFIELD,1756407186000,CENTRAL,DITCH,1748390400000,1752624000000,1756252800000,,C04,,,,5734.356575587397
14783,1,0,0,0,0,0.98297336,0.0,0.0,Received Third Cut,CLOVERLAND DITCH,WEST SOUTH BLVD DITCH,WEST,GENETTA DITCH,NPJACKSON,1740667602000,,,ABENEFIELD,1756407186000,CENTRAL,DITCH,1746144000000,1751500800000,1756166400000,,C05,1713398400000,1723161600000,,5190.099345841678
14784,0,0,0,0,0,2.13332078,0.0,0.0,Scheduled to be cut,SMILEY COURT,SMILEY COURT DITCH,SOUTH,CATOMA CREEK,NPJACKSON,1740667602000,,,NPJACKSON,1752263333000,TRACTOR,TRACTOR,,,,,T12,,,,6652.339481601253
14785,2,0,0,0,0,0.0,0.0,0.0,Received Third Cut,WEST END DITCH,WEST END DITCH,NORTH,SWAMP_ALA_RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,TRACTOR,TRACTOR,1742342400000,1750896000000,1755820800000,,T14,1709078400000,,,5396.707634043339
14786,2,0,0,0,0,1.17543393,0.0,0.0,Received Third Cut,WEST END DITCH,WEST END DITCH,NORTH,SWAMP_ALA_RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1756407186000,CENTRAL,DITCH,1742342400000,1750809600000,1755820800000,,C06,1709078400000,,,28866.102113418838
14787,0,0,0,0,0,0.77371263,0.0,0.0,Received Third Cut,CHILDRENS ZOO DITCH,MONTGOMERY ZOO,NORTH,SWAMP_ALA_RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1765562042000,NORTH,DITCH,1744848000000,1751500800000,1757635200000,,N21,1729123200000,,,4085.202680591495
14788,0,0,0,0,0,0.3268452,0.0,0.0,Received Third Cut,CHILDRENS ZOO DITCH,MILLARD FULLER,NORTH,SWAMP_ALA_RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1765561671000,NORTH,DITCH,1742860800000,1753228800000,1759276800000,,N09,,,,1725.7426386706306
14789,4,0,0,0,0,0.24158765,0.0,0.0,Received Third Cut,CYPRESS POND DITCH,RIPLEY ST,SOUTHWEST,ALABAMA RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1766423699000,NORTH,DITCH,1746489600000,1753401600000,1759190400000,,N19,,,,1275.582792997091
14790,4,0,0,0,0,0.72078313,0.0,0.0,Received Third Cut,THREE MILE BRANCH,COLISEUM BLVD,NORTH,THREE MILE BRANCH,NPJACKSON,1740667602000,,,ABENEFIELD,1766423797000,NORTH,DITCH,1750118400000,1753747200000,1759449600000,,N25,1721865600000,,,3805.7349040307063
14791,1,0,0,0,0,4.290288,0.0,0.0,Received Third Cut,THREE MILE BRANCH,THREE MILE BRANCH,NORTH,SWAMP_ALA RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1765400904000,CENTRAL,DITCH,1742947200000,1752537600000,1757462400000,,C07,1714780800000,1721952000000,1727222400000,26849.75623666288
14792,1,0,0,0,0,0.58606823,0.0,0.0,Received Third Cut,THREE MILE BRANCH,SPRUCE CURV,NORTH,SWAMP,NPJACKSON,1740667602000,,,ABENEFIELD,1765401958000,EAST,DITCH,1742256000000,1749686400000,1756857600000,,E05,1709164800000,1714348800000,1721001600000,3094.440256540328
14793,1,0,0,0,0,2.02048922,0.0,0.0,Received Third Cut,THREE MILE BRANCH,AVONDALE DITCH,NORTH,THREE MILE BRANCH,NPJACKSON,1740667602000,,,ABENEFIELD,1765401053000,CENTRAL,DITCH,1748908800000,1755043200000,1758758400000,,C08,1712102400000,1725926400000,,11148.479203961926
14794,1,0,0,0,0,0.92717368,0.0,0.0,Received Third Cut,THREE MILE BRANCH,ZELDA RD DITCH,NORTH,THREE MILE BRANCH,NPJACKSON,1740667602000,,,ABENEFIELD,1765401701000,CENTRAL,DITCH,1744329600000,1754524800000,1758672000000,,C09,1718323200000,1724803200000,,4895.47703054867
14795,0,0,0,0,0,0.6767216,0.0,0.0,Received Third Cut,WARES FERRY DITCH,CAROL VILLA DR,NORTH,SWAMP_ALA RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1765405117000,EAST,DITCH,1743465600000,1752105600000,1757376000000,,E34,1709769600000,1715731200000,1726012800000,3573.0900394970777
