Name,Category_Group,Category,Sub_Category,Address,F__of_Visits,y,x,ObjectId
The Shoppes at Eastchase,Shopping Centers,Power Centers,Power Centers,7274 Eastchase Pkwy,555634,32.3588333129883,-86.1635284423828,1
Midtown Plaza,Shopping Centers,Community Shopping Centers,Community Shopping Centers,955 Ann St,384281,32.3702812194824,-86.269157409668,2
Oliver Creek Shopping Center,Shopping Centers,Neighborhood Centers,Neighborhood Centers,6631-6633 Atlanta Hwy,361850,32.3840789794922,-86.183708190918,3
Cornerstone Shopping Center,Shopping Centers,Neighborhood Centers,Neighborhood Centers,7700 Vaughn Rd,279231,32.3374328613281,-86.1818771362305,4
Montgomery Commons,Shopping Centers,Strip/Convenience,Strip/Convenience,3747 Eastern Blvd.,242854,32.3273010253906,-86.2324066162109,5
Zelda Place,Shopping Centers,Neighborhood Centers,Neighborhood Centers,3026 Zelda Rd,226572,32.3554077148438,-86.2650833129883,6
Walmart,Superstores,Superstores,Big Box Store,851 Ann St,195942,32.3706855773926,-86.2682647705078,7
Eastchase Market Center,Shopping Centers,Community Shopping Centers,Community Shopping Centers,7861 Eastchase Pkwy,187626,32.3623390197754,-86.1548461914062,8
Chantilly Station Shopping Center,Shopping Centers,Strip/Convenience,Strip/Convenience,10710 Chantilly Pkwy,187591,32.3551330566406,-86.1346664428711,9
Walmart,Superstores,Superstores,Big Box Store,6495 Atlanta Hwy,186169,32.3850555419922,-86.1849594116211,10
Sam's Club,Superstores,Superstores,Warehouse Store,1080 Eastern Blvd,179606,32.3650207519531,-86.2158203125,11
Walmart,Superstores,Superstores,Big Box Store,3801 Eastern Blvd,172596,32.325870513916,-86.2323913574219,12
HMMA,Industrial,Industrial,Factory,700 Hyundai Blvd,160149,32.2830200195312,-86.3273239135742,13
EastChase Plaza,Shopping Centers,Neighborhood Centers,Neighborhood Centers,2430-2556 Berryhill Rd,153146,32.3582725524902,-86.1612854003906,14
Festival Plaza,Shopping Centers,Neighborhood Centers,Neighborhood Centers,8035 Vaughn Road,149200,32.3403930664062,-86.1766128540039,15
Dalraida Commons,Shopping Centers,Strip/Convenience,Strip/Convenience,4045 Atlanta Hwy,134395,32.3832054138184,-86.2418899536133,16
Costco Wholesale,Superstores,Superstores,Warehouse Store,8251 Eastchase Pkwy,130331,32.3643836975098,-86.1504135131836,17
Montgomery Promenade,Shopping Centers,Community Shopping Centers,Community Shopping Centers,2596 Eastern Blvd,129867,32.3464775085449,-86.2248611450195,18
Target,Superstores,Superstores,Big Box Store,2576 Berryhill Rd,116897,32.360538482666,-86.1599731445312,19
Eastdale Mall,Shopping Centers,Regional Malls,Regional Malls,1000 Eastdale Mall,114830,32.3852806091309,-86.2061462402344,20
Baptist Medical Center,Medical & Health,General Medical Centers and Hospitals,General Hospital,2119 E South Blvd,113000,32.3281745910645,-86.2778244018555,21
Twin Oaks Center,Shopping Centers,Strip/Convenience,Strip/Convenience,2717 Eastern Blvd,107360,32.344898223877,-86.221923828125,22
Walmart Neighborhood Market,Groceries,Groceries,Grocery Store,8035 Vaughn Rd,106774,32.340446472168,-86.1752319335938,23
Sturbridge Village Shopping Center,Shopping Centers,Strip/Convenience,Strip/Convenience,7946 Vaughn Rd,104831,32.3375434875488,-86.1774749755859,24
Chick-fil-A,Dining,Fast Food & QSR,Fast Food Restaurant,6921 Eastchase Loop,98819,32.358226776123,-86.1704559326172,25
Promenade,Shopping Centers,Strip/Convenience,Strip/Convenience,2542 Eastern Blvd,92725,32.3509941101074,-86.2222213745117,26
Chick-fil-A,Dining,Fast Food & QSR,Fast Food Restaurant,2682 Eastern Blvd,91721,32.3480758666992,-86.2228851318359,27
Chick-fil-A,Dining,Fast Food & QSR,Fast Food Restaurant,915 Ann St,88943,32.3688316345215,-86.2704467773438,28
Taylor Junction,Shopping Centers,Neighborhood Centers,Neighborhood Centers,7076 Atlanta Hwy,87294,32.381534576416,-86.1717529296875,29
Walmart Neighborhood Market,Groceries,Groceries,Grocery Store,1600 Federal Dr,85578,32.4025230407715,-86.2669677734375,30
Speedway Full Site,Shops & Services,Gas Stations & Convenience Stores,Convenience Store,5601 Troy Hwy,83575,32.2982864379883,-86.1971969604492,31
Eastchase Central,Shopping Centers,Strip/Convenience,Strip/Convenience,7670-7690 Eastchase Pkwy,83188,32.3600234985352,-86.1584625244141,32
Capitol Plaza,Shopping Centers,Strip/Convenience,Strip/Convenience,2232 East South Blvd,79425,32.3257751464844,-86.2664031982422,33
Alabama State University,Education,"Colleges, Universities, and Professional Schools",University,915 S Jackson St,77509,32.3633117675781,-86.2932434082031,34
Jackson Hospital,Medical & Health,General Medical Centers and Hospitals,General Hospital,1725 Pine St,77471,32.3671913146973,-86.284782409668,35
Perry Hill Place,Shopping Centers,Neighborhood Centers,Neighborhood Centers,1611 Perry Hill Rd,76686,32.3553466796875,-86.2425994873047,36
Chantilly Corners: Montgomery,Shopping Centers,Neighborhood Centers,Neighborhood Centers,9168 Eastchase Pkwy,75085,32.3606796264648,-86.1379241943359,37
Governors Square,Shopping Centers,Strip/Convenience,Strip/Convenience,2681 E South Blvd,74848,32.3286285400391,-86.2496490478516,38
Eastbrook SC West,Shopping Centers,Neighborhood Centers,Neighborhood Centers,431 Coliseum Blvd,73576,32.3909454345703,-86.2583312988281,39
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,5765 Atlanta Hwy,71658,32.3827934265137,-86.2002639770508,40
Westport Center,Shopping Centers,Neighborhood Centers,Neighborhood Centers,4724 Mobile Hwy,71198,32.3100662231445,-86.3510437011719,41
Montgomery Towne Center,Shopping Centers,Community Shopping Centers,Community Shopping Centers,4056 Eastern Blvd,69024,32.3263664245605,-86.2371063232422,42
Woodmere Crossing,Shopping Centers,Strip/Convenience,Strip/Convenience,1580 Eastern Blvd,68454,32.3566589355469,-86.2190093994141,43
Circle K Full Site,Shops & Services,Gas Stations & Convenience Stores,Convenience Store,1220 Perry Hill Rd,65804,32.3613739013672,-86.2450256347656,44
Bell Plaza Shopping Center,Shopping Centers,Community Shopping Centers,Shopping Center,6142 Atlanta Hwy,63167,32.3812446594238,-86.1928939819336,45
Chick-fil-A,Dining,Fast Food & QSR,Fast Food Restaurant,8090 Vaughn Rd,61928,32.3383979797363,-86.1737976074219,46
Montgomery Regional Airport (MGM),Travel,Airport Facilities,Airport,4445 Selma Hwy,60071,32.2998886108398,-86.3950576782227,47
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,1590 Eastern Blvd,59493,32.355827331543,-86.2183151245117,48
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,2621 E South Blvd,59200,32.3277244567871,-86.2550735473633,49
The Home Depot,Home Improvements & Furnishings,Home Improvement,Hardware Store,2312 Eastern Blvd,58408,32.3511734008789,-86.2231826782227,50
Circle K,Shops & Services,Gas Stations & Convenience Stores,Gas Station / Garage,300 Madison Ave,57780,32.3796768188477,-86.3044815063477,51
Circle K (Inc. Short-Visits),Shops & Services,Gas Stations & Convenience Stores,Gas Station / Garage,300  Madison Ave,57633,32.379508972168,-86.3044357299805,52
The Home Depot,Home Improvements & Furnishings,Home Improvement,Hardware Store,10655 Chantilly Pkwy,57352,32.3578948974609,-86.1310806274414,53
Blount Cultural Park,Leisure,Nature & Landmarks,Park,1 Festival Drive,57123,32.3474388122559,-86.2101211547852,54
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,2681 Zelda Road,53752,32.3645401000977,-86.2683029174805,55
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,2750 Taylor Rd,51639,32.3395881652832,-86.1800689697266,56
Country Club Centre,Shopping Centers,Strip/Convenience,Strip/Convenience,1740 Carter Hill Rd,50679,32.3578796386719,-86.2837524414062,57
Lagoon Park,Leisure,Nature & Landmarks,Park,2855 Lagoon Park Dr,49159,32.405818939209,-86.2220993041992,58
Academy Sports + Outdoors,Apparel,Recreational & Sporting Goods,Sporting Goods Shop,8610 Eastchase Parkway,48965,32.3644943237305,-86.144157409668,59
Circle K Full Site,Shops & Services,Gas Stations & Convenience Stores,Convenience Store,966 W South Blvd,48549,32.3270835876465,-86.3295288085938,60
Speedway,Shops & Services,Gas Stations & Convenience Stores,Gas Station / Garage,5559 Troy Hwy,47683,32.2979621887207,-86.1971435546875,61
Circle K,Shops & Services,Gas Stations & Convenience Stores,Gas Station / Garage,7891 Vaughn Rd,47096,32.3392601013184,-86.1800689697266,62
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,2212 Madison Ave,47060,32.3801803588867,-86.2756423950195,63
Eastdale Square,Shopping Centers,Neighborhood Centers,Neighborhood Centers,5901 Atlanta Highway,46859,32.3836135864258,-86.1974182128906,64
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,9145 Eastchase Pkwy,46555,32.3626670837402,-86.1377487182617,65
Stratford Square,Shopping Centers,Strip/Convenience,Strip/Convenience,1661 Eastern Blvd.,45949,32.3543701171875,-86.2161331176758,66
Raceway Full Site,Shops & Services,Gas Stations & Convenience Stores,Convenience Store,1319 Eastern Blvd,45699,32.3593940734863,-86.2146072387695,67
Embassy Suites By Hilton Montgomery Hotel & Conference Center,Hotels & Casinos,Hotels & Casinos,Hotel,300 Tallapoosa St,45330,32.3796577453613,-86.3139801025391,68
Food OutLet,Groceries,Groceries,Supermarket,439 Coliseum Blvd,44044,32.3917999267578,-86.2585678100586,69
Renaissance Montgomery Hotel & Spa at the Convention Center,Hotels & Casinos,Hotels & Casinos,Hotel,201 Tallapoosa Street,43981,32.3791313171387,-86.3118286132812,70
Circle K,Shops & Services,Gas Stations & Convenience Stores,Gas Station / Garage,1024 Ann St,43485,32.3686256408691,-86.271354675293,71
QuikTrip,Shops & Services,Gas Stations & Convenience Stores,Convenience Store,1035 W S Blvd,42679,32.3268241882324,-86.3375549316406,72
Murphy USA,Shops & Services,Gas Stations & Convenience Stores,Gas Station / Garage,3809 Eastern Blvd,42446,32.3278160095215,-86.2328491210938,73
Circle K (Inc. Short-Visits),Shops & Services,Gas Stations & Convenience Stores,Convenience Store,2735 Poplar Street,42055,32.36865234375,-86.2715301513672,74
Murphy USA (Inc. Short-Visits),Shops & Services,Gas Stations & Convenience Stores,Gas Station / Garage,10620 Chantilly Pkwy,41905,32.3571929931641,-86.1339645385742,75
Walgreens,Medical & Health,Drugstores & Pharmacies,Drugstore / Pharmacy,2920 Carter Hill Rd,41789,32.351993560791,-86.2646484375,76
McDonald's,Dining,Fast Food & QSR,Fast Food Restaurant,700 W Fairview Ave,41542,32.3519859313965,-86.3187713623047,77
T.J. Maxx,Apparel,Department Stores,Department Store,2751 Eastern Bypass,41237,32.3451042175293,-86.2213821411133,78
QuikTrip,Shops & Services,Gas Stations & Convenience Stores,Convenience Store,1060 Eastern Blvd,39355,32.3661308288574,-86.2126388549805,79
Whataburger,Dining,Fast Food & QSR,Burger Joint,6970 Eastchase Loop,39135,32.3593063354492,-86.1694107055664,80
