OBJECTID,OffenseNo,Location,Remark,ParcelNo,Type,Date,District,GlobalID,created_user,created_date,last_edited_user,last_edited_date,HearingDate
1,C00172467,3109 GENTILLY CT,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, WeedsThere Is A Black Car And A Black Van In The Back. Have To Use The Alleyway.",15 02 03 1 003 029.000,NUISANCE,1736208000000,6,{0CE88267-1AEC-4318-B287-2E5B7105DB9B},,,HNAM,1769178803000,2025/01/07
2,C00172532,10480 CHANTILLY PKWY,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",09 06 23 2 000 003.003,NUISANCE,1736208000000,9,{ED569262-E28F-4743-A7B0-F2FB15EB6272},,,HNAM,1769178803000,2025/01/07
3,C00172533,3466 BROADVIEW ST,"Debris, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Debris From Property",04 09 32 1 015 003.000,NUISANCE,1736208000000,3,{E6DD0BA8-4418-4299-8AAF-4817371760C1},,,HNAM,1769178803000,2025/01/07
4,C00172575,1001 CLAY ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 01 11 4 009 010.000,NUISANCE,1736208000000,4,{45D77A36-0C30-4155-B25E-4D1D5AA92ABF},,,HNAM,1769178803000,2025/01/07
5,C00172587,1438 WITHERS ST,"Debris, Junk Vehicles, Litter, Junk, Trash, WeedsRemove Wreck/Dismantled Vehicle From Property",10 03 06 4 023 003.000,NUISANCE,1736208000000,3,{3D6FB30C-1F60-4CD5-8F21-6B4615977104},,,HNAM,1769178803000,2025/01/07
6,C00172624,1600 OAK ST,"Litter, Junk, Trash, Overgrown Grass, WeedsAll Trash Bags On Porch Of Structure On This Parcel Must Be Removed",11 06 23 1 014 001.000,NUISANCE,1736208000000,4,{253C895F-01D3-433B-8EEB-4F9A2B5966B8},,,HNAM,1769178803000,2025/01/07
7,C00172632,2020 EAST SOUTH BLVD,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",10 09 32 1 006 004.000,NUISANCE,1736208000000,5,{30D823CA-3582-45FA-8F93-8FAD35F18F93},,,HNAM,1769178803000,2025/01/07
8,C00172635,132 LONGVIEW CT,"Appliances, Auto Parts, Bldg. Material, Debris, Litter, Junk, Trash, Overgrown Grass, Tires, Weeds, WoodEntire Parcel Must Be Cleaned And Cleared Of Junk",11 05 16 4 009 019.000,NUISANCE,1736208000000,4,{0BFA7B0A-1756-422F-8DA4-88AE2098238E},,,HNAM,1769178803000,2025/01/07
9,C00172636,2703 OLD SELMA RD,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds1 Purple Car1 Black Car",11 05 16 4 009 001.000,NUISANCE,1736208000000,4,{764B8FDD-4E7C-49D5-824F-65CDB6C25866},,,HNAM,1769178803000,2025/01/07
10,C00172637,6 LONGVIEW CT,"Bldg. Material, Debris, Litter, Junk, Trash, WeedsAll Junk And Debris Be Removed From Parcel Please",11 05 16 4 009 039.000,NUISANCE,1736208000000,4,{4E4DC4DD-9424-433D-A262-234F82421EA6},,,HNAM,1769178803000,2025/01/07
