OBJECTID,Fiscal_Year,Month,Date_of_Payment,Coins,Checks,Cash,Explaination_of_Checks___Cash,Total_Amount_Deposited
1,2025,01-OCT,2024/10/02 00:00:00+00,,220,,Paragon Services Reserved Meters,220
2,2025,01-OCT,2024/10/07 00:00:00+00,,100,,Renaissance Reserved Meters,100
3,2025,01-OCT,2024/10/08 00:00:00+00,,960,,Charlies Trophies On Street Parking FY 25,960
4,2025,01-OCT,2024/10/10 00:00:00+00,,360,,Davis Theatre ,360
5,2025,01-OCT,2024/10/15 00:00:00+00,,200,,Dad's Enterprises Reserved Meters (Sept),200
6,2025,01-OCT,2024/10/15 00:00:00+00,,5760,,Miller Rentals On Street Reserved Parking FY 25,5760
7,2025,01-OCT,2024/10/15 00:00:00+00,,700,,Marshall Design Construction Reserved Parking,700
8,2025,01-OCT,2024/10/22 00:00:00+00,,120,,Renaissance Reserved Meters,120
9,2025,01-OCT,2024/10/25 00:00:00+00,,220,,Medical Place Reserved Meters(August),220
10,2025,01-OCT,2024/10/25 00:00:00+00,,220,,Medical Place Reserved Meters(Sept),220
11,2025,01-OCT,2024/10/22 00:00:00+00,,3840,,WSFA On Street Reserved Parking FY 25,3840
12,2025,01-OCT,2024/10/22 00:00:00+00,,6720,,RSA On Street Reserved Parking FY 25,6720
13,2025,01-OCT,2024/10/25 00:00:00+00,"$4,581.30",,,Coins,4581.3
14,2025,01-OCT,2024/10/28 00:00:00+00,,600,,Danny Clements Reserved Meters (Sept),600
15,2025,01-OCT,2024/10/28 00:00:00+00,,705,,RF Pruett Construction Reserved Meters (Oct),705
16,2025,02-NOV,2024/11/01 00:00:00+00,,660,,Danny Clements Reserved Meters (August),660
17,2025,02-NOV,2024/11/04 00:00:00+00,,460,,Embassy Suites Reserved Parking Meters,460
18,2025,02-NOV,2024/11/04 00:00:00+00,,480,,Dexter Ave Development On Street Parking FY 25,480
19,2025,02-NOV,2024/11/12 00:00:00+00,,3840,,Aldridge Borden On Street Parking,3840
20,2025,02-NOV,2024/11/13 00:00:00+00,,15852.42,,ParkMobile(October),15852.42
21,2025,02-NOV,2024/11/13 00:00:00+00,,100,,Renaissance Reserved Meters,100
22,2025,02-NOV,2024/11/13 00:00:00+00,,560,,Embassy Suites Reserved Parking Meters,560
23,2025,02-NOV,2024/11/15 00:00:00+00,,200,,Paragon Services Reserved Meters (Nov),200
24,2025,02-NOV,2024/11/15 00:00:00+00,"$3,914.52",,,Coins,3914.52
25,2025,02-NOV,2024/11/18 00:00:00+00,,220,,Dads Enterprises Reserved Meters (Oct),220
26,2025,02-NOV,2024/11/18 00:00:00+00,,1000,,Raybren Contractors Reserved Meters (Oct),1000
27,2025,02-NOV,2024/11/21 00:00:00+00,,180,,C.W.Smith Decorating Reserved Meters,180
28,2025,02-NOV,2024/11/21 00:00:00+00,,220,,Medical Plaza Reserved Meters (Oct),220
29,2025,03-DEC,2024/12/17 00:00:00+00,,13926.07,,ParkMobile(November),13926.07
30,2025,03-DEC,2024/12/11 00:00:00+00,"$3,426.03",,,Coins,3426.03
31,2025,03-DEC,2024/12/18 00:00:00+00,,500,,Raybren Contractors Reserved Meters (Nov),500
32,2025,03-DEC,2024/12/18 00:00:00+00,,100,,DoubleTree Reserved Meters,100
33,2025,03-DEC,2024/12/18 00:00:00+00,,340,,Renaissance Reserved Meters,340
34,2025,03-DEC,2024/12/18 00:00:00+00,,180,,Davis Theatre ,180
35,2025,03-DEC,2024/12/18 00:00:00+00,,770,,Marshall Design Construction Reserved Parking,770
36,2025,04-JAN,2025/01/02 00:00:00+00,,400,,Renaissance Reserved Meters,400
37,2025,04-JAN,2025/01/07 00:00:00+00,,225,,Peraton Meter Hoods,225
38,2025,04-JAN,2025/01/07 00:00:00+00,,225,,Comfort Systems Meter Hoods,225
39,2025,04-JAN,2025/01/07 00:00:00+00,,450,,Copy Products Company Meter Hoods,450
