FID,PM_ZONE_NU,Street,From_,To_,Side,Spaces,Collection,Enforced,Duration,Increments,Rate_Days,Start_Time,End_Time,Hour_Rate,Latitude,Longitude,OID_,Zone,Cnt_Zone,Sum_Paymen,Shape__Area,Shape__Length
1,36001,Jackson,Madison,Centenial,West,30,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3755172970635,-86.2965362505252,0,36001,114,153.9,92613.8268737793,5144.12063689505
2,36002,Jackson,Madison,Centenial,East,14,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3754136180895,-86.2964212185573,1,36002,32,43.2,86694.9702758789,5137.96351191879
3,36003,Ripley,High,Monroe,East,25,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3743030548677,-86.2979346367151,2,36003,56,75.6,97980.6415100098,5188.04737253614
4,36004,Ripley,High,Monroe,West,11,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.374300048783,-86.2980597461581,3,36004,115,155.25,92917.5688781738,5197.68668080696
5,36005,Union,Scott,Jefferson,East,47,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3790231395009,-86.2997094545471,4,36005,97,130.95,110516.766143799,5540.6799068323
6,36006,Union,Alabama,Jefferson,West,20,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3788307203077,-86.2998344836086,5,36006,98,132.3,97434.5910339355,5099.79122887848
7,36007,Bainbridge,Columbus,Adams,West,14,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3799646735021,-86.3014446467533,6,36007,3,4.05,79625.0528869629,5045.45172978462
8,36008,Banbridge,Columbus,Adams,East,29,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3800367441103,-86.3013347250562,7,36008,63,85.05,84456.6972961426,5035.67320533569
9,36009,Decatur,Monroe,Adams,West,12,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.377124165441,-86.3025428404368,8,36009,25,33.75,45114.8296508789,2671.30368278635
10,36010,Decatur,Monroe,Adams,East,8,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3770385613719,-86.3024229393163,9,36010,80,108,46117.4367980957,2667.05293709327
11,36011,Hull,Jefferson,Scott,East,19,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3762254928092,-86.3036293886852,10,36011,6,8.1,81829.0023498535,5466.02401540136
12,36012,Monroe,Hull,Ripley,South,36,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3789421570457,-86.2998600105513,11,36012,110,148.5,63221.2964477539,3524.34436203322
13,36013,Monroe,Hull,Ripley,North,5,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3789942983133,-86.301118495782,12,36013,7,9.45,73653.6136474609,3539.88183495942
14,36014,Monroe,Ripley,Jackson,South,11,SSM,Pay by Plate,480,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3790614359897,-86.2974180591599,13,36014,53,137.75,15844.1542053223,1021.74537989518
15,36015,Monroe,Ripley,Jackson,North,14,SSM,Pay by Plate,480,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.379159442983,-86.2974402595277,14,36015,49,120.65,18101.435546875,1038.34716700579
16,36016,Monroe,Jackson,Hilliard,N & S,14,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3791963491613,-86.2960112284362,15,36016,39,52.65,28174.8919067383,992.393790983788
17,36017,Dexter,Hull,Decatur,South,18,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3775492390798,-86.3031736978779,16,36017,46,62.1,20422.280090332,918.158480734873
18,36018,Dexter,Hull,Decatur,North,11,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3776807790817,-86.3031863670123,17,36018,68,91.8,19090.5442810059,909.762696975872
19,36019,Washington,Jackson,Decatur,North,19,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3765498339635,-86.3010921838694,18,36019,110,148.5,70396.9530944824,3733.23885116788
20,36020,Washington,Jackson,Decatur,South,34,SSM,Pay by Plate,120,15,Mon-Fri,08:00:00,18:00:00,$1.00,32.3764345571924,-86.3010617051438,19,36020,93,125.55,68576.7802429199,3726.59218196608
