OBJECTID,OBJECTID_1,FACILITYID,Type,FULLADDR,OPERDAYS,OPERHOURS,PARKAREA,PARKURL,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,SOFTBALL,BASKETBALL,TENNIS,SKATEBOARD,INFORMATION,PETS,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,ORIG_FID,X,Y
1,4,Audubon Park,Parks & Trails,3174 CLOVERDALE RD,Sun-Sat,Daylight,1.92446561,http://www.funinmontgomery.com/parks-items/Audobon,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/20 00:00:00+00,SLH,shutcheson,2017/11/03 14:21:13+00,ABOWEN,2021/12/02 16:39:56+00,79,-86.29218222,32.3483117
2,6,Bark Park,Parks & Trails,6055 Vaughn Rd,Sun-Sat,Daylight,7.11313332,http://www.funinmontgomery.com/parks-items/bark-park,0,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,shutcheson,2017/11/03 14:28:33+00,ABOWEN,2021/12/02 16:39:56+00,81,-86.20834488,32.3419333
3,7,Bellinger Hill Park,Parks & Trails,1121 S LAWRENCE ST,Sun-Sat,Daylight,0.44378967,http://www.funinmontgomery.com/parks-items/bellinger-hills,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,2013/08/20 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,2,-86.30536159,32.36245971
4,8,Blount Cultural Park,Parks & Trails,3 FESTIVAL DR,Sun-Sat,Daylight,285.96321352,http://www.funinmontgomery.com/parks-items/blount-cultural-park,0,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,15,-86.21011994,32.34743598
5,9,Brenda Bonner Park (Forest Hills) ,Parks & Trails,3721 HARRISON RD,Sun-Sat,Daylight,3.47986039,http://www.funinmontgomery.com/parks-items/brenda-park,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,23,-86.24822358,32.36786444
6,10,Brewbaker Park & Community Center,Parks & Trails,4450 BREWBAKER DR,Sun-Sat,Daylight,24.93368685,http://www.funinmontgomery.com/parks-items/Brewbaker,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,76,-86.22102227,32.32272865
7,11,Catoma Park Ball Fields,Parks & Trails,1780 MITCHELL YOUNG RD,Sun-Sat,Daylight,21.85264496,http://www.funinmontgomery.com/parks-items/catoma-ball-fields,60,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,4,4,N,N,N,Y,N,2013/08/20 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,5,-86.44568127,32.31443828
8,14,Cloverdale Park (Church),Parks & Trails,2415 W CLOVERDALE PARK,Sun-Sat,Daylight,3.36244403,http://www.funinmontgomery.com/parks-items/cloverdale-park-church,0,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,7,-86.29229704,32.35542009
9,15,Cloverdale Road Park,Parks & Trails,3124 CLOVERDALE RD,Sun-Sat,Daylight,1.85036727,http://www.funinmontgomery.com/parks-items/cloverdale-road-park,0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/20 00:00:00+00,SLH,shutcheson,2017/11/03 14:21:13+00,ABOWEN,2021/12/02 16:39:56+00,80,-86.29242638,32.35017048
10,16,College Street Park,Parks & Trails,2220 COLLEGE ST,Sun-Sat,Daylight,0.67020876,http://www.funinmontgomery.com/parks-items/college-street,0,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,8,-86.2856453,32.35652228
11,17,Country Club Drive Park,Parks & Trails,2227 COUNTRY CLUB DR,Sun-Sat,Daylight,1.42388528,http://www.funinmontgomery.com/parks-items/country-club-drive-park,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,9,-86.27905279,32.35603554
12,21,Dannelly Park,Parks & Trails,3415 CARTER HILL RD,Sun-Sat,Daylight,5.23657398,http://www.funinmontgomery.com/parks-items/Dannelly,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,3,3,Y,N,N,N,N,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,12,-86.25817223,32.34328525
13,22,Darrington/Ritchie Park (Dorchester) ,Parks & Trails,3399 DORCHESTER DR,Mon-Fri,8:00AM-5:00PM,2.77394364,http://www.funinmontgomery.com/parks-items/dorchester-park,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,18,-86.25813733,32.31830303
14,23,Day Street Park,Parks & Trails,910 DAY ST,Sun-Sat,Daylight,0.52037844,http://www.funinmontgomery.com/parks-items/day-street-park,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,13,-86.32448367,32.36989331
15,24,Dean Fain Park,Parks & Trails,8700 MINNIE BROWN RD,Sun-Sat,Daylight,23.17684947,http://www.funinmontgomery.com/parks-items/dean-fain-park-softball,400,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,4,4,N,N,N,N,N,2017/11/03 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,16,-86.14023509,32.35633705
16,26,Diffley Park,Parks & Trails,221 CRENSHAW ST,Sun-Sat,Daylight,4.04749155,http://www.funinmontgomery.com/parks-items/diffley-park,0,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,17,-86.33152682,32.37396612
17,27,Dr. Robert B. Adams Park,Parks & Trails,440 RICHARDSON RD,Sun-Sat,Daylight,1.49368355,http://www.funinmontgomery.com/parks-items/dr-robert-b-adams,0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,19,-86.3977353,32.31046518
18,28,E.A.T. South Downtown Farm,Parks & Trails,530 MAXWELL BLVD,Sun-Sat,Daylight,2.06070962,http://www.eatsouth.org/,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2013/08/27 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,75,-86.31773466,32.37829484
19,32,Exchange Club Park East Montgomery,Parks & Trails,850 COLISEUM BLVD,Sun-Sat,Daylight,10.01333692,http://www.funinmontgomery.com/parks-items/east-montgomery-exchange-park,0,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,1,1,N,N,N,N,N,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,20,-86.25872651,32.40166017
20,33,Fairview Environmental Park,Parks & Trails,750 W Fairview Ave,Sun-Sat,Daylight,3.10373375,http://www.funinmontgomery.com/parks-items/fairview-environmental-park,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2017/11/03 00:00:00+00,,shutcheson,2017/11/03 16:36:21+00,ABOWEN,2021/12/02 16:39:56+00,85,-86.3196421,32.35222288
21,34,Fitzgerald Park,Parks & Trails,840 FELDER AVE,Sun-Sat,Daylight,0.26378485,http://www.funinmontgomery.com/parks-items/fitzgerald-park,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,21,-86.29325561,32.3581375
22,36,"Forrest B. ""Buddy"" Watson Park",Parks & Trails,1801 TAYLOR RD,Sun-Sat,Daylight,30.02560334,http://www.funinmontgomery.com/parks-items/buddy-watson,230,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,7,7,N,N,N,N,N,2013/08/20 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,3,-86.17341662,32.34971348
23,37,Fox Hollow Park,Parks & Trails,4690 CHRYSTAN RD,Sun-Sat,Daylight,5.17404849,http://www.funinmontgomery.com/parks-items/fox-hollow-park,0,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,24,-86.22617719,32.38021409
24,39,Gateway Park,Parks & Trails,2060 BOWMAN DR,Sun-Sat,Daylight,191.44421616,http://www.funinmontgomery.com/parks-items/gateway-park,0,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,3,4,4,N,N,N,Y,Y,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,25,-86.32769965,32.3342348
25,41,Goodwyn Park (Ball Fields),Parks & Trails,205 PERRY HILL RD,Sun-Sat,Daylight,25.72533904,http://www.funinmontgomery.com/parks-items/Goodwyn,200,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,1,7,7,Y,N,N,N,N,2013/08/21 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,26,-86.24184234,32.37923431
26,44,Hayneville Road Park,Parks & Trails,2900 PATRICK RD,Sun-Sat,Daylight,14.81495422,http://www.funinmontgomery.com/parks-items/hayneville-road-park,0,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,2013/08/22 00:00:00+00,SLH,,,ABOWEN,2021/12/02 16:39:56+00,27,-86.36491077,32.34823649
