OBJECTID,FULLNAME,DistrictCode,DistrictDesc,StreetName,From_,To_,AsphaltEst,EstTons,Width_ft,Length_ft,Length_Miles,Status,Year,CompletionDate,Class,Class2,Contractor,RB_Rating,created_user,created_date,last_edited_user,last_edited_date,GlobalID,ShapeSTLength
17181,9TH ST,3,District 3,9TH ST,N COURT ST,Cross St,20133.12,280,24,1200,0.22727273,Completed,2020,,HISTORY,City,,3,,,NPJACKSON,2020/10/07 19:49:04+00,{58B6CF60-1F4C-4D05-A92C-F88CF8FACDEF},1199.48448011583
17182,ADAMS AVE,3,District 3,ADAMS AVE,S Court St,S Lawrence St,30901.33,429.72,52,850,0.16,Completed,2019,2019/03/21 00:00:00+00,HISTORY,Utility,City of Montgomery,0,,,,,{1A133DFD-EB52-4E40-A6D2-34F4D137254E},880.884521885297
17183,ADLER DR,6,District 6,ADLER DR (1),Garden Home Cir,Hunting Creek Rd,25166.4,350,30,1050,0.2,Completed,2020,2020/09/09 00:00:00+00,HISTORY,City,,3.11764706,,,NPJACKSON,2020/10/06 13:47:14+00,{A8CCF211-2077-4710-853B-EFAD4CD90673},1074.8593362285
17186,ALAN LN,4,District 4,ALAN LN,Old Selma Rd,End,14616.52,310,,1138.2662996,0.21558074,Completed,2016,2016/08/23 00:00:00+00,HISTORY,City,City of Montgomery,0,,,,,{7C80B518-866E-4CF6-82A1-BFEC2F0D04B0},1138.26629959834
17189,ALRED CT,9,District 9,ALRED CT,Laurelwood Ln,End,11304.02784,157.21,30,539,0.10208333,Completed,2020,2019/10/02 00:00:00+00,HISTORY,City,City of Montgomery,0,,,NPJACKSON,2020/10/06 13:47:14+00,{532DDD8E-DC6B-4423-B514-7DCEEA4EBDE0},539.096046645587
17190,ALTHEA ST,1,District 1,ALTHEA ST,Ann St,End,17162.04672,238.68,25,982,0.18598485,Completed,2022,2022/02/10 00:00:00+00,HISTORY,City,,3.47826087,,,ABENEFIELD,2022/11/09 14:41:29+00,{287F007F-29D9-4116-B284-7F11126303FE},982.015017287342
17191,AMOS ST,2,District 2,AMOS ST,Fairground Rd,Clara St,14956.36,263.7333,27,1006.91692523,0.19,Completed,2017,,HISTORY,City,City of Montgomery,0,,,,,{F74EF5F3-5D20-4E5D-BB52-DADD4E330968},1006.91692523148
17192,ANDOVA DR,6,District 6,ANDOVA DR,Matterhorn St,End,13341.81,233.33,30,1018.01019662,0.151515,Completed,2018,2018/08/30 00:00:00+00,HISTORY,City,City of Montgomery,0,,,,,{C679644D-9FD2-41CE-9E28-34D76C10AAC6},1018.0101966212
17193,ANN ST,2,District 2,ANN ST,Mcqueen St,Highland Ave,37821.38,803,,1344.3642612,0.25461046,Completed,2016,2016/03/23 00:00:00+00,HISTORY,City,City of Montgomery,0,,,NPJACKSON,2020/05/12 15:48:13+00,{8AEAAF88-0A76-46A2-A253-C6C832511723},1344.34325177356
17194,APACHE CT,1,District 1,APACHE CT,Seminole Dr,End,7948.26816,110.54,30,378.38531825,0.07178,Completed,2021,2021/04/27 00:00:00+00,HISTORY,City,,3,,,NPJACKSON,2021/10/12 20:43:33+00,{93AD1667-B41D-4D34-B4D0-739566BF0FD3},378.385318251731
