X,Y,OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date
532826.755928829,686881.881225906,1,317646,2021/01/01 00:06:00+00,Street Maintenance,Drains,WARES FERRY RD,1,Closed,2022/02/02 20:36:00+00,Website,32.387676,-86.232888,2021,{3FD41E46-D4C9-4A5D-B1DD-7F054B2A4B2E},,,,
532104.406651746,689644.25693474,2,317647,2021/01/01 02:21:00+00,Sanitation Department,General Sanitation Inquiry,700 MARY ANN DR,2,Closed,2021/01/07 20:39:00+00,Website,32.3952613,-86.2352616,2021,{B03AD99B-CEDF-49B3-A264-CA69A7023CB2},,,,
506286.449101411,675867.491509326,3,317648,2021/01/03 15:21:00+00,Code Enforcement,Nuisance,702 WOODROW ST,7,Closed,2021/01/05 14:40:00+00,Report2Gov Android,32.3571,-86.3187,2021,{CCA24BA4-6351-4181-BF63-D7E1250C53E0},,,,
531849.911097746,680616.424596742,4,317649,2021/01/03 16:25:00+00,Sanitation Department,Schedule A Bulk Pick Up***DO NOT USE***,541 BELLEHURST DR,1,Closed,2021/04/05 13:17:00+00,Website,32.3704445,-86.235976,2021,{0C8C97CB-569C-4B3C-8B59-2B774020EA13},,,,
509524.140788745,682930.730007492,5,317650,2021/01/04 04:10:00+00,Building Maintenance,COM Plumbing,25 WASHINGTON AVE,3,Closed,2021/01/04 14:25:00+00,Call Center,32.376554,-86.308317,2021,{631B9A31-0687-4557-8292-A819F97779C1},,,,
534643.77886958,655482.708788157,6,317651,2021/01/04 04:13:00+00,Street Maintenance,Sidewalk,6173 SOUTH HAMPTON DR,6,Closed,2023/03/02 14:13:00+00,Call Center,32.3013892,-86.2266284,2021,{442605EB-63F3-450B-9746-5BC78479F762},,,,
541738.905427329,690266.870190822,7,317652,2021/01/04 04:15:00+00,Street Maintenance,COM Barricade Request ,725 AMITY LN,2,Closed,2021/01/14 16:26:00+00,Call Center,32.3970683,-86.204056,2021,{A2A92AB7-BA2F-4D95-8594-D10FCAF74861},,,,
519658.747816078,686957.270510823,8,317653,2021/01/04 13:23:00+00,Code Enforcement,Nuisance,2220 MCCARTER AVE,3,Closed,2021/01/05 19:09:00+00,Call Center,32.3877408,-86.2755452,2021,{1054EBBB-D742-4823-83DA-74A68E48E370},,,,
,,9,317654,2021/01/04 13:46:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 13:46:00+00,Call Center,0,0,2021,{CC51C2DE-34AD-45BE-844F-ACACC6A89386},,,,
546097.663113996,691604.099143654,10,317655,2021/01/04 13:59:00+00,Sanitation Department,Garbage/Debris Dumping ( For debris that have been dumped mainly in downtown Montgomery along the r.o.w),WARES FERRY RD,2,Closed,2021/04/05 13:17:00+00,Call Center,32.4007846,-86.1899492,2021,{929EEC1E-5FE4-4086-A14D-A29FA215D1E4},,,,
,,11,317656,2021/01/04 14:05:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 14:05:00+00,Call Center,0,0,2021,{AF0315FF-B53D-4B6B-AD7A-23B76B49B6AB},,,,
519761.556993663,697399.333944239,12,317657,2021/01/04 14:11:00+00,Sanitation Department,Pick Up Container,4015 CHELSEA DR,3,Closed,2021/01/08 13:21:00+00,Call Center,32.4164431,-86.275352,2021,{E0061B47-1138-408F-8F17-C50E4E2E7528},,,,
520653.198911164,685407.741457656,13,317658,2021/01/04 14:15:00+00,Building Maintenance,COM Carpentry,206 FEDERAL DR,2,Closed,2021/01/05 12:42:00+00,Call Center,32.383493,-86.2723032,2021,{D2896EAD-9286-426A-804A-000380A88202},,,,
519159.287200827,697912.235477492,14,317659,2021/01/04 14:16:00+00,Building Maintenance,COM Roofing,329 E Vandiver Blvd,3,Closed,2021/01/07 13:47:00+00,Call Center,32.417846,-86.2773105,2021,{D940C444-8CF6-41DD-9A44-BAFF908E9131},,,,
498297.78069558,672552.571629986,15,317660,2021/01/04 14:17:00+00,Building Maintenance,Fire Plumbing,1300 AIR BASE BLVD,4,Closed,2021/01/04 15:11:00+00,Call Center,32.3478864,-86.3445181,2021,{4BD6B07B-6A02-49DA-957F-D47433799402},,,,
528693.002057247,665859.042366154,16,317661,2021/01/04 14:18:00+00,Building Maintenance,Fire Roofing,3003 EAST SOUTH BLVD,6,Closed,2021/01/18 12:08:00+00,Call Center,32.3298487,-86.2460163,2021,{C9F7BC99-8440-48CD-AF52-4175F5E9B0E9},,,,
498297.78069558,672552.571629986,17,317662,2021/01/04 14:18:00+00,Building Maintenance,Fire Roofing,1300 AIR BASE BLVD,4,Closed,2021/01/07 12:53:00+00,Call Center,32.3478864,-86.3445181,2021,{A7BB9EF4-ECE8-4EA1-9FAB-2D47756C5AE2},,,,
519159.287200827,697912.235477492,18,317663,2021/01/04 14:20:00+00,Building Maintenance,COM Electrical,329 E Vandiver Blvd,3,Closed,2021/01/04 16:05:00+00,Call Center,32.417846,-86.2773105,2021,{898E5F68-B455-4E34-8935-90C6392F9463},,,,
563388.117706247,681038.742321655,19,317664,2021/01/04 14:21:00+00,Traffic Engineering,Inquiries,TECHNACENTER DR,1,Closed,2021/01/04 14:21:00+00,Call Center,32.3718901,-86.1338339,2021,{4D9EB7E9-D49E-4A66-857D-0C00F8767DA0},,,,
,,20,317665,2021/01/04 14:24:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 14:24:00+00,Call Center,0,0,2021,{1D1243DC-3655-47E6-8879-8479E87E4934},,,,
523278.363280244,675174.510939904,21,317666,2021/01/04 14:24:00+00,Sanitation Department,Inquiries,3112 FITZGERALD CIR,7,Closed,2021/01/04 14:24:00+00,Call Center,32.355395,-86.2636664,2021,{B29D3762-4601-427F-BD4D-98779B1530BB},,,,
,,22,317667,2021/01/04 14:25:00+00,Inspections Department,Inquiries,,,Closed,2021/01/04 14:25:00+00,Call Center,0,0,2021,{0E11E95B-C366-4E55-A65A-D56F62D08A96},,,,
515635.213868413,661568.782245904,23,317668,2021/01/04 14:28:00+00,Sanitation Department,Missed Pick Up,BISCAYNE DR,5,Closed,2021/01/04 14:28:00+00,Call Center,32.317911,-86.2882295,2021,{3CC2317F-7642-4240-9835-28FBCDA394AB},,,,
494895.612959247,672720.77437757,24,317669,2021/01/04 14:30:00+00,Sanitation Department,Garbage/Debris Dumping ( For debris that have been dumped mainly in downtown Montgomery along the r.o.w),3315 HAYNEVILLE RD,4,Closed,2021/01/08 18:27:00+00,Call Center,32.3483036,-86.3555367,2021,{D2B3E30F-003A-4F22-BDB6-43416F21A6B2},,,,
,,25,317670,2021/01/04 14:32:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 14:32:00+00,Call Center,0,0,2021,{D07EC9AE-896F-459B-BE7A-D568AA5F69EB},,,,
543464.016478412,688739.889977075,26,317671,2021/01/04 14:33:00+00,Street Maintenance,Replace Inlet(Storm Drain) Tops,WARES FERRY RD,1,Closed,2021/01/06 21:14:00+00,Call Center,32.3928875,-86.1984502,2021,{8F78A7B8-4641-4A3A-9A21-04DC9A80342A},,,,
512775.347540911,684847.070334904,27,317672,2021/01/04 14:36:00+00,City Jail Internal Building Maintenance,City Jail Carpentry,320 N Ripley St,3,Closed,2021/01/05 12:56:00+00,Call Center,32.3818605,-86.2978134,2021,{02CB6C96-4420-40A9-94FF-D163B710087E},,,,
527461.993692495,681808.065258071,28,317673,2021/01/04 14:41:00+00,Street Maintenance,Clean Inlets,676 JORYNE DR,1,Closed,2021/01/08 14:20:00+00,Call Center,32.3736737,-86.2502025,2021,{B4C5804A-AD41-4C79-909A-DF80ABBB0429},,,,
526777.850375745,685791.127173826,29,317674,2021/01/04 14:43:00+00,Street Maintenance,Debris In The Street,ATLANTA HWY,1,Closed,2021/01/05 18:09:00+00,Call Center,32.3846143,-86.2524689,2021,{0BA04F22-D0B1-4592-8F6F-A9B901048F04},,,,
555923.614262577,667566.293544821,30,317675,2021/01/04 14:45:00+00,Sanitation Department,Request A New Container,8481 MELBOURNE CIR,8,Closed,2021/01/08 13:20:00+00,Call Center,32.3347989,-86.1578781,2021,{046BF419-956C-4AA8-837B-9CE609BB2FCD},,,,
529523.494818829,684181.21241466,31,317676,2021/01/04 14:47:00+00,Sanitation Department,Street Sweepers,205 PERRY HILL RD,1,Closed,2021/01/08 18:29:00+00,Call Center,32.3802185,-86.243555,2021,{781E12D7-E793-4AC9-B49D-1763FF48183A},,,,
,,32,317677,2021/01/04 14:51:00+00,FAQ,FAQ-Personnel,,,Closed,2021/01/04 14:51:00+00,Call Center,0,0,2021,{075E95BD-8616-4ED3-BA11-BDFF349F6E9A},,,,
508658.009975079,669805.671611987,33,317678,2021/01/04 14:56:00+00,Street Maintenance,Ditch Cutting That Is Not on Schedule List,3636 FARRAR ST,7,Closed,2021/01/08 14:09:00+00,Call Center,32.3404677,-86.3109327,2021,{D13DC66E-4575-4C82-A33C-ADB142DA9E30},,,,
517556.548280329,660811.476345822,34,317679,2021/01/04 14:58:00+00,Sanitation Department,Missed Pick Up,NARROW LANE RD,5,Closed,2021/01/04 14:58:00+00,Call Center,32.3158517,-86.2820001,2021,{C2CDEE39-DC45-41CC-ACE8-5866E154464E},,,,
,,35,317680,2021/01/04 15:01:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 15:01:00+00,Call Center,0,0,2021,{40940CA6-3AE7-458D-8B42-6E552E26B057},,,,
515001.194139078,668698.873956822,36,317681,2021/01/04 15:20:00+00,Street Maintenance,Fallen Trees and Limbs,3615 E Audubon Rd,7,Closed,2021/01/06 21:35:00+00,Call Center,32.3375016,-86.2903802,2021,{B24950DE-7DC4-4839-BF93-5E3D7DD8E4A1},,,,
,,37,317682,2021/01/04 15:24:00+00,Planning Department,Inquiries,,,Closed,2021/01/04 15:24:00+00,Call Center,0,0,2021,{89B90BAB-2822-49B4-8418-D3804D56659A},,,,
504551.568056747,675072.996707238,38,317683,2021/01/04 15:27:00+00,Sanitation Department,Exchange Damage Container,1047 STEPHENS ST,4,Closed,2021/01/11 20:27:00+00,Call Center,32.3548945,-86.3243062,2021,{66454B22-3023-49BD-A212-D9704090F544},,,,
