X,Y,OBJECTID,OBJECTID_1,NAME,FIPS,ENRLMT,SCH_ENRL,enr,Address,City,TELEPHONE,ZIP,TAZ_2035LR,TAZ_2030LR,EMPLOY,Enroll,Level_,BUFF_DIST,LASTUPDATE,created_user,created_date,last_edited_user,last_edited_date,SchoolType,New
-9603686.15563844,3807619.41179666,1,,Bear Exploration Center School,01101,561,0,561,2525 Churchill Drive,Montgomery,(334) 284-8014,36111,121,121,43,520,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9607987.59305487,3808994.29465952,2,,Bellingrath Middle School,01101,636,0,636,3350 S. Court St,Montgomery,(334) 269-3618,36105,37,37,62,470,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9597971.00363164,3805410.44696327,3,,Brewbaker Intermediate School,01101,635,0,635,4455 Brewbaker Drive,Montgomery,(334) 284-8006,36116,197,197,55,682,Elementary 3rd-5th Grade,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9597879.4208288,3805558.72577144,4,,Brewbaker Middle School,01101,857,0,857,4425 Brewbaker Drive,Montgomery,(334) 284-8008,36116,197,197,79,752,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9603698.28948225,3813635.97573936,5,,Capitol Heights Middle School,01101,605,0,605,116 Federal Drive,Montgomery,(334) 260-1000,36107,67,67,77,587,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9596473.0838689,3808069.41588689,6,,Saint James School,01101,696,0,1150,6010 Vaughn Road,Montgomery,(334) 277-8033,36116,197,197,20,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9604568.81881828,3818377.07030499,7,,Chisholm Elementary School,01101,614,0,614,307 E. Vandiver Blvd,Montgomery,(334) 269-3643,36110,151,151,56,544,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9602412.10204747,3804546.00332418,8,,Peter Crump Elementary School,01101,576,0,576,3510 Woodley Road,Montgomery,(334) 284-8020,36116,172,172,65,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9600752.70516925,3814699.76701471,9,,Dalraida Elementary School,01101,813,0,813,440 Dalraida Road,Montgomery,(334) 260-1007,36109,142,142,63,767,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9602426.01680404,3808445.75298026,10,,Dannelly Elementary School,01101,600,0,600,3425 Carter Hill Road,Montgomery,(334) 269-3657,36111,178,178,51,573,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9608619.06004497,3808145.06479164,11,,Davis Elementary School,01101,470,0,470,3605 Rosa L. Parks Ave.,Montgomery,(334) 269-3662,36105,101,102,52,404,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9596991.67092173,3812934.29589998,12,,Dozier Elementary School,01101,417,0,417,200 Eastern Blvd,Montgomery,(334) 260-1012,36117,209,209,40,462,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9601584.88328018,3811539.27428435,13,,Flowers Elementary School,01101,381,0,381,3510 Harrison Rd,Montgomery,(334) 260-1015,36109,130,129,39,381,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9605346.6981487,3810794.59176291,14,,Forest Avenue Academic Magnet School,01101,736,0,736,1700 W. Fifth St.,Montgomery,(334) 269-3673,36106,48,48,51,685,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
