OBJECTID,Count_,Date_Inspection,Date_Utilities,Type_Inspection,Inspection_Observation,FollowUp_Actions,Report_Type,Location,Type_Damaged,Comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,TrackingNo
1,,2018-03-27,,,BROKEN POLE; TRANSFERS NEEDED,,DAMAGED,HIGHLAND AVE ACROSS FROM HAIR STUDIO,BROKEN POLE; TRANSFERS NEEDED,5 ATTACHMENTS,{9B81BCCC-FF16-4088-A5A3-41EA42B12DDC},,,SDE,1752071691000,225
2,,2018-04-02,,,POLE REMOVAL NEEDED; TRANSFERS NEEDED,,LEANING,US-331 SOUTH OF HYUNDAI BLVD,POLE REMOVAL NEEDED; TRANSFERS NEEDED,2 ATTACHMENTS,{581F851C-46BD-4890-B5DB-8EF54484623B},,,SDE,1752071691000,228
3,,2018-04-02,,,BROKEN POLE REMOVAL NEEDED,,DAMAGED,CARTER HILL RD AT CARR CENTER,BROKEN POLE REMOVAL NEEDED,NO ATTACHMENTS,{74E12ADA-3129-4B67-B942-546F75CA8B7D},,,SDE,1752071691000,226
4,,2018-04-02,,,POLE TOP HANGING; TRANSFERS NEEDED,,DAMAGED,4347 NORMAN BRIDGE RD ACROSS FROM BURGESS CENTER,POLE TOP HANGING; TRANSFERS NEEDED,3 ATTACHMENTS,{0DD89A1C-48CD-44A2-B079-957D0F4D9838},,,SDE,1752071691000,229
5,,2018-04-09,,,POLE REMOVAL NEEDED; TRANSFERS NEEDED,,LEANING,CORNER OF COLUMBUS AND UNION ST,POLE REMOVAL NEEDED; TRANSFERS NEEDED,7 ATTACHMENTS,{07034798-DAFB-4C6A-9776-2D232C96B461},,,SDE,1752071691000,232
6,,2018-04-09,2018-04-09,,LOW HANGING WIRES,,LOW HANGING WIRES,ALONG BREWER ROAD NEAR PIEDMONT DRIVE,LOW HANGING WIRES,CHARTER AND WOW ATTACHED; NOTIFIED 4/30/18,{A0706F73-35F0-47C2-AAAA-A47C85B862A4},,,SDE,1752071691000,0
7,,2018-04-09,2018-04-09,,LOW HANGING WIRES,,LOW HANGING WIRES,THORNWOOD DR NEAR INTERSECTION SUNNYBROOK,LOW HANGING WIRES,CHARTER AND WOW ATTACHED; NOTIFIED 4/30/18,{645C8804-6DF6-476E-B5C7-6A4D20FF7097},,,SDE,1752071691000,0
8,,2018-04-09,2018-04-09,,POLE REMOVAL NEEDED; TRANSFERS NEEDED,,REMOVAL NEEDED,MOBILE HWY NEAR WEST EDGEMONT AVE,POLE REMOVAL NEEDED; TRANSFERS NEEDED,APC INSTALLED NEW AT&T POLE; AT&T NEEDS TO TRANSFER AND REMOVE OLD POLE,{2ACA4F58-A4DB-49ED-8FDE-40E9ABE67CC4},,,SDE,1752071691000,0
9,,2018-04-09,2018-04-09,,POLE REMOVAL NEEDED; TRANSFERS NEEDED,,REMOVAL NEEDED,MOBILE HWY AT CAPITAL RECYCLING,POLE REMOVAL NEEDED; TRANSFERS NEEDED,"AT&T, CHARTER AND WOW ATTACHED; NOTIFIED 5/1/18",{D6A4B8AD-ECA0-49F8-938B-A6F302E370D8},,,SDE,1752071691000,0
10,,2018-04-11,2018-04-13,,BROKEN POLE; TRANSFERS NEEDED,,DAMAGED,CORNER OF HOWE AND N DECATUR ST,BROKEN POLE; TRANSFERS NEEDED,"AT&T ATTACHED TO POLE; NOTIFIED 9/23/17, 1/30/18, 11/16: CATV STILL ATTACHED",{959E35B6-8A77-4957-B056-E0345E1E58B9},,,SDE,1752071691000,0
