X,Y,FID,foottraffic
-9625304.33674506,3803412.2241399,1,148
-9625304.33674506,3803412.2241399,2,148
-9625304.33674506,3803412.2241399,3,148
-9625304.33674506,3803412.2241399,4,148
-9625304.33674506,3803412.2241399,5,148
-9625304.33674506,3803412.2241399,6,148
-9625304.33674506,3803412.2241399,7,148
-9625304.33674506,3803412.2241399,8,148
-9625304.33674506,3803412.2241399,9,148
-9625304.33674506,3803412.2241399,10,148
-9625304.33674506,3803412.2241399,11,148
-9625304.33674506,3803412.2241399,12,148
-9625304.33674506,3803412.2241399,13,148
-9625304.33674506,3803412.2241399,14,148
-9625304.33674506,3803412.2241399,15,148
-9625304.33674506,3803412.2241399,16,148
-9625304.33674506,3803412.2241399,17,148
-9540299.66038041,3783300.60601725,18,294
-9750946.1932238,3964646.59162882,19,87
-9750946.1932238,3964646.59162882,20,87
-9397766.1843687,4003210.93078788,21,87
-9555491.43128897,3872747.73708831,22,101
-9638396.62205726,3735837.87507126,23,100
-9638396.62205726,3735837.87507126,24,100
-9638396.62205726,3735837.87507126,25,100
-9653867.80488771,4143438.06192805,26,138
-9644524.76002542,4130000.82895021,27,59
-9767103.10411753,3580211.39965204,28,139
-9767103.10411753,3580211.39965204,29,139
-9551496.17476439,3740882.47073461,30,128
-9602359.16330275,3708682.1348876,31,75
-9602359.16330275,3708682.1348876,32,75
-9602359.16330275,3708682.1348876,33,75
-9613277.37895975,3756694.03679841,34,90
-9613277.37895975,3756694.03679841,35,90
-9613277.37895975,3756694.03679841,36,90
-9575555.65630955,3639155.9420182,37,93
-9562319.76885423,3832589.08828226,38,127
-9562319.76885423,3832589.08828226,39,127
-9641882.035314,3742209.79388791,40,101
-9391222.82469987,4025040.2449755,41,95
-9594253.99117809,3828778.02747669,42,117
-9594253.99117809,3828778.02747669,43,117
-9594253.99117809,3828778.02747669,44,117
-9594253.99117809,3828778.02747669,45,117
-9594253.99117809,3828778.02747669,46,117
-9594253.99117809,3828778.02747669,47,117
-9594253.99117809,3828778.02747669,48,117
-9594253.99117809,3828778.02747669,49,117
-9594253.99117809,3828778.02747669,50,117
-9594253.99117809,3828778.02747669,51,117
-9594253.99117809,3828778.02747669,52,117
-9594253.99117809,3828778.02747669,53,117
-9594253.99117809,3828778.02747669,54,117
-9594253.99117809,3828778.02747669,55,117
-9594253.99117809,3828778.02747669,56,117
-9594253.99117809,3828778.02747669,57,117
-9582866.00726994,3773553.69973974,58,67
-9582866.00726994,3773553.69973974,59,67
-9582866.00726994,3773553.69973974,60,67
-9582866.00726994,3773553.69973974,61,67
-9582866.00726994,3773553.69973974,62,67
-9582866.00726994,3773553.69973974,63,67
-9582866.00726994,3773553.69973974,64,67
-9582866.00726994,3773553.69973974,65,67
-9582866.00726994,3773553.69973974,66,67
-9582866.00726994,3773553.69973974,67,67
-9582866.00726994,3773553.69973974,68,67
-9582866.00726994,3773553.69973974,69,67
-9582866.00726994,3773553.69973974,70,67
-9582866.00726994,3773553.69973974,71,67
-9623720.26039107,3823324.27967607,72,101
-9623720.26039107,3823324.27967607,73,101
-9623720.26039107,3823324.27967607,74,101
-9623720.26039107,3823324.27967607,75,101
-9623720.26039107,3823324.27967607,76,101
-9581581.38034619,3955025.96485592,77,162
-9384693.93656485,3993476.39250798,78,114
-9640319.10966326,4091547.39979749,79,90
-9606347.74065787,3862240.26285405,80,113
-9606347.74065787,3862240.26285405,81,113
-9606347.74065787,3862240.26285405,82,113
-9606347.74065787,3862240.26285405,83,113
-9606347.74065787,3862240.26285405,84,113
-9518061.36570464,3837811.97937815,85,73
-9565934.31272028,3882567.1646161,86,154
-9746576.90321016,3911696.05651753,87,156
-9549457.91488797,3837417.04574964,88,132
-9549457.91488797,3837417.04574964,89,132
-9960410.51307496,3653613.31432172,90,120
-9960410.51307496,3653613.31432172,91,120
-9426296.25666411,4019299.27316902,92,146
-9426296.25666411,4019299.27316902,93,146
-9426296.25666411,4019299.27316902,94,146
-9426296.25666411,4019299.27316902,95,146
-9370826.86759673,3565877.72902901,96,135
-9394871.87760808,3967719.45867902,97,166
-9394871.87760808,3967719.45867902,98,166
-9394871.87760808,3967719.45867902,99,166
-9516865.79437352,3838641.51494339,100,72
-9542235.5063253,3781182.58275612,101,45
-9542235.5063253,3781182.58275612,102,45
-9542235.5063253,3781182.58275612,103,45
-9542235.5063253,3781182.58275612,104,45
-9542235.5063253,3781182.58275612,105,45
-9542235.5063253,3781182.58275612,106,45
-9542235.5063253,3781182.58275612,107,45
-9542235.5063253,3781182.58275612,108,45
-9542235.5063253,3781182.58275612,109,45
-9690652.21742544,3734942.09298775,110,42
-9690652.21742544,3734942.09298775,111,42
-9690652.21742544,3734942.09298775,112,42
-9514595.98995624,3654820.59503759,113,74
-9541963.88676777,3779994.23449814,114,161
-9541963.88676777,3779994.23449814,115,161
-9541963.88676777,3779994.23449814,116,161
-9541963.88676777,3779994.23449814,117,161
-9541963.88676777,3779994.23449814,118,161
-9541963.88676777,3779994.23449814,119,161
-9541963.88676777,3779994.23449814,120,161
-9325997.39545937,3909424.68314278,121,125
-9630073.26373064,3972066.40520706,122,95
-9612700.74399745,3749042.63875263,123,91
-9624692.0795457,3826634.76088194,124,101
-9624692.0795457,3826634.76088194,125,101
-9613094.81499485,3833337.71548848,126,94
-9568421.1901446,4041381.18710891,127,109
-9568421.1901446,4041381.18710891,128,109
-9233124.65748545,4138768.71671955,129,131
-9233124.65748545,4138768.71671955,130,131
-9522314.88344784,3850370.86837618,131,127
-9522314.88344784,3850370.86837618,132,127
-9522314.88344784,3850370.86837618,133,127
-9522314.88344784,3850370.86837618,134,127
-9166871.74934492,3846577.87629428,135,155
-9166871.74934492,3846577.87629428,136,155
-9408121.12340229,3984884.3421096,137,169
-9408121.12340229,3984884.3421096,138,169
-9408121.12340229,3984884.3421096,139,169
-9408121.12340229,3984884.3421096,140,169
-9817537.51261633,3591062.37575317,141,193
-9626425.32401735,3825773.07613205,142,94
-9626425.32401735,3825773.07613205,143,94
